Capital One,"We're happy to hear you're liking the skill overall and appreciate the feedback. A fix is on the way, so you shouldn't have this experience moving forward!",6 months ago,"Not a bad skill, but access pin is readable by anyone, even months after the fact."
Amazon Customer,"Hi Logan. We're excited that you're happy with the convenience of the skill overall. Our team is always working hard to develop new capabilities, and will update customers with the latest at: www.capitalone.com/alexa. Keep the site on your radar for what's to come.",7 months ago,Does ALMOST Everything Perfect
Ray S.,Yes !!!!! Absolutely because I share accounts with my wife and we both spend/use cards.,7 months ago,Four Stars
Andy Kim,Great comment,9 months ago,"Alexa, you just made my day!"
Andy Kim,Thanks!,9 months ago,"Alexa, you just made my day!"
John B.,Agreed,9 months ago,"Alexa, you just made my day!"
Andy Kim,Awesome review,9 months ago,"Alexa, you just made my day!"
Capital One,"We're glad to be setting the bar for modern day banking, and your kudos is much appreciated! Enjoy Mike.",28 days ago,Excellent!
Capital One,Hey Bradley! We've got an awesome team hard at work developing new capabilities. Keep your eyes peeled and feel free to check out: www.capitalone.com/alexa for any updates on features!,9 months ago,Worth Enabling
Amazon Customer,"It's safe to say that this loop is frustrating for too, as this is not the experience we want you to have! Feel free to contact us at www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We hope to hear from you soon to troubleshoot your issue, and please be sure to reference this review in your message to us.",7 months ago,Frust
Capital One,"Unfortunately, this isn’t something we can help with on the app side. A Capital One call center agent should be able to help you resolve whatever account issue is preventing you from being able to access your account via Alexa. Here’s the number to reach Capital One: 1 (877) 383-4802.",3 months ago,Not helpful
Capital One,"This is a major shout out and we're very excited about being on your list of faves, G. SINCLAIR!",6 months ago,Easy setup and works great
Capital One,"Unfortunately, this isn’t something we can help with on the app side. A Capital One call center agent should be able to help you resolve whatever account issue is preventing you from being able to access your account via Alexa. Here’s the number to reach Capital One: 1 (877) 383-4802.",28 days ago,Useless Application.
Amazon Customer,"This is only the beginning, but your feedback will help us to take the capabilities of the skill to new heights. Thanks so much for your detailed recommendations, and be sure to stay tuned for what's next. We will update www.capitalone.com/alexa with any news on the latest features.",7 months ago,Pretty Good
Capital One,"Hey there. If you do not interact with Alexa for 8 seconds or simply say some variation of ""goodbye"" that will end your session. Once you've completed using the skill just tell Alexa something along the lines of ""That's all"" or ""Bye"" and you should be all set from there!",4 months ago,End a session
Amazon Customer,"We're sorry to hear that you're having difficulty accessing the skill, and would like to help turn things around. Give it another go, but if you don't have any luck contact us via www.capitalone.com/alexa by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We look forward to troubleshooting your issue, and please be sure to reference this review in your message to us!",7 months ago,What skill?
Andy Kim,Great comment,9 months ago,Another useful feature for Echo
Capital One,"Hello John. Unfortunately, this isn’t something we can help with on the app side. A Capital One call center agent should be able to help you resolve whatever account issue is preventing you from being able to access your account via Alexa. Here’s the number to reach Capital One: 1 (877) 383-4802.",28 days ago,Can't link
Nivek Yrrek,Will Do!,9 months ago,I like this skill
Capital One,"That's the goal, Nivek! We're always working on new capabilites to get even better. Stay in the news by visiting: www.capitalone.com/alexa",9 months ago,I like this skill
Capital One,"We think of it as banking of the future, and we're glad to have you abroad our time machine. Thanks for the shout out and stay tuned for bigger & better, Gyongyver!",10 months ago,Great - and only the beginning!
Capital One,"We recommend giving the Skill another go, James! We were experiencing an issue at the time of your review, but everything is good to go now.",28 days ago,Proxy error on the CO website
John and Jesse Maddalena,"Yeah, I'm having the same issue. I can't find anything about it either from Capital One or Amazon.",1 month ago,Proxy error on the CO website
