author,content,date,id,review_title
Capital One,"We're happy to hear you're liking the skill overall and appreciate the feedback. A fix is on the way, so you shouldn't have this experience moving forward!",6 months ago,fd838a84-d34b-448e-a940-6d2753e8903f,"Not a bad skill, but access pin is readable by anyone, even months after the fact."
Amazon Customer,"Hi Logan. We're excited that you're happy with the convenience of the skill overall. Our team is always working hard to develop new capabilities, and will update customers with the latest at: www.capitalone.com/alexa. Keep the site on your radar for what's to come.",7 months ago,fba11465-8d59-4d51-8b3e-714a5826ec86,Does ALMOST Everything Perfect
Ray S.,Yes !!!!! Absolutely because I share accounts with my wife and we both spend/use cards.,7 months ago,fda3582b-1049-43ef-af46-355cf9f0a878,Four Stars
Andy Kim,Great comment,9 months ago,8123eaae-e8c3-4927-b469-3e91785d2c35,"Alexa, you just made my day!"
Andy Kim,Thanks!,9 months ago,4bf12e42-3ad4-4152-be5a-ec654023acbf,"Alexa, you just made my day!"
John B.,Agreed,9 months ago,d10f8e9e-4b8b-4db1-992e-6767d9a366e4,"Alexa, you just made my day!"
Andy Kim,Awesome review,9 months ago,d96be4f6-77da-4608-adba-fceabb91a940,"Alexa, you just made my day!"
Capital One,"We're glad to be setting the bar for modern day banking, and your kudos is much appreciated! Enjoy Mike.",29 days ago,e5c18d25-948c-4c49-ab9e-a9d64a220a3a,Excellent!
Capital One,"We'd like to ask that you give this another try, Andrew. If the issue persists please contact us at www.capitalone.com/applications/alexa/  by scrolling to the bottom of the page where you'll find the option to send us a note about what's going wrong. We'll keep our eyes peeled for you, and please be sure to reference this review in your message to us!",9 months ago,83c17536-7445-4354-a806-464fa5375ad4,Promising overall!  Noticed an NLU bug.
Capital One,Hey Bradley! We've got an awesome team hard at work developing new capabilities. Keep your eyes peeled and feel free to check out: www.capitalone.com/alexa for any updates on features!,9 months ago,3d68bbc0-ccc2-4912-b58a-f23cbb532f76,Worth Enabling
