author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
R. Seehoffer,1,"The skill itself isn't bad--in fact I used it for a couple months without issue. My concern is that the pin code necessary to access account information, pay bills, etc is stored as plain text in Alexa's voice history list, and can be read by anyone who looks. 99% of people are not going to know how to go on Amazon through their PC and clear that history, or scroll through hundreds of entries and delete it from the Alexa app. This to me pretty much negates the security aspect of requiring a pin, and so I removed the skill.",2017-01-10,257b162a-8190-4db8-9fcc-b5fbdaa5e365,3.0,Capital One,1503627770.8015912,"Not a bad skill, but access pin is readable by anyone, even months after the fact.",27
Logan,1,"This is an awesome feature. However I can't seem to make a payment unless I've been billed. Since I usually pay in advance this isn't quite as convenient as I was hoping it would be, but it is still really convenient to at least check my account balance.",2016-12-01,760830e4-8cd4-406e-a986-aee90b85913a,4.0,Capital One,1503627770.838759,Does ALMOST Everything Perfect,14
Antonio,0,Very convenient to stay up-to-date information about my account. It's also great that it's secured with a 4 digit code before opening. Hopefully more banks job on this as well.,2016-12-02,7d71e275-4b3e-4f2d-8214-3d3ef567a22b,5.0,Capital One,1503627770.860651,"Great Skill, Very Useful",11
Dustin,0,Love capital one! They invest more in tech than any other cc company. Tells me stuff about my quick silver card. Thanks guys! Keep adding more commands!,2016-10-21,d389e453-6b46-479f-873e-58794bb89e89,5.0,Capital One,1503627770.8846052,Cool!,8
Tom Poole,0,"Technology done right! Frictionless, easy peasy. C1 is setting a new standard.",2016-12-03,23c3ab15-c98c-4fb1-bf76-b74df11a86f0,5.0,Capital One,1503627770.9101472,Awesome Skill!!!,7
Maria M. Graciano,1,Would be nice if you could restrict which of your accounts the app has access,2016-11-29,185ddf7a-0132-497e-a5cb-12431b803895,4.0,Capital One,1503627770.947316,Four Stars,7
s@mw1se,4,"This is amazing! I'm sure the functionality will continue to expand, but blown away that I can check my balance and pay a bill without having to use an app.",2016-03-11,552017c0-c7a9-47a6-a3c9-dfeca2e81dfe,5.0,Capital One,1503627771.012994,"Alexa, you just made my day!",15
Mike303,1,"Extremely useful to check balance, the days spending etc. These are the type of skills that make Alexa most useful, in my opinion anyway.Can’t wait for other banks to follow suit. I saw a couple reviews that mentioned they had trouble setting up, or it wasn’t working correctly...Absolutely no issue setting up on my end, took 20 seconds and everything works perfectly",2017-07-11,3ebccbd1-c545-40ea-afff-cf42b1edf85a,5.0,Capital One,1503627771.041951,Excellent!,3
Andrew E Wilkinson,1,"A slight bug...  when I request to make a payment of some amount of dollars &quot;and one cent,&quot; it doesn't map the &quot;and one cent&quot; to an amount, so it asks me to confirm payment of just the whole dollar amount. If I say &quot;and one cents,&quot; it maps that correctly to the additional $.01.",2016-10-21,2679a404-0419-4880-8d12-7e90c192f6b7,3.0,Capital One,1503627771.075618,Promising overall!  Noticed an NLU bug.,5
Amazon Customer,0,"May need a lil tweaking , only only to make payments from one save card wont allow you to change to a different card  that is saved on ur capital one accout",2016-11-26,740d0e86-72ff-4ce6-8ab1-b8212c3445ef,4.0,Capital One,1503627771.096087,Mulitiple card,10
Robert,0,"Now this is a really useful skill!  We have multiple accounts with Capital One - 360 Checking, Savings, and also a credit card.  This skill allows us to check balances on all of them.  It will also list (i.e. say) recent transactions.  It's just a little bit slow right now, but I'm sure that will improve.We are really eager for this skill to develop even further, e.g. search for transaction by merchant name, transfer funds between accounts, send a check, etc.  But even in the meantime, this saves the need to login the old fashioned way for basic info!",2017-03-26,235d41e7-1a09-44a7-8770-0bccecfe37b5,4.0,Capital One,1503627776.937122,The Promise of Alexa Realized,6
B. Toy,1,Great skill.  I wish it linked to my Capital One investing account though.  Highly recommend enabling this skill.,2016-10-20,f89a9b57-6b0d-498c-83c4-07f64d923349,5.0,Capital One,1503627776.975102,Worth Enabling,6
Janice M,0,Performs exactly as stated,2016-12-03,9649bba0-cbf0-4895-888a-3de7b0d50213,5.0,Capital One,1503627776.998209,Great,6
D. Lamb,0,Does what it does very well. Keep doing more!,2016-11-30,1a3ba7af-c309-42df-802d-1668f7181dcd,5.0,Capital One,1503627777.023031,Superb,5
Mikko,0,No issues with the app. It does what it says. The only thing is you have to ask Alexa to open Capital one first before you can ask anything about your account.,2016-12-22,b40ca7dd-2118-4c07-8b08-71efbb2c5e63,4.0,Capital One,1503627777.045922,Good app,4
Amazon Customer,1,I can't link my account despite trying numerous times to do so. Frustrating app thus far. Only one star because it's required for rating.,2016-12-22,afe88edf-cc24-4f75-886a-baefd8341d0d,1.0,Capital One,1503627777.08364,Frust,4
kojak35,0,This is one of the best skills on Amazon Echo.  Love it. Thank you Capital One for being on the leading edge of technology.,2016-03-11,b80c53c2-892a-4817-9063-4dc78baee289,5.0,Capital One,1503627777.105557,Love it,15
Hidalgo,1,I keep trying to link the acct to the Alexa app but it keeps telling me that I have to log on to my Capital One acct and resolve an issue before linking. When I log on there's nothing wrong at all. I spoke to a rep and he informed me to contact the app administrator. Unhelpful.,2017-05-12,7b25d0eb-f880-4010-b5a0-d8fb1dab86e5,1.0,Capital One,1503627777.1435869,Not helpful,2
maggies mom,1,One of the best skills so far! No problem linking account or using skill. Works beautifully and is very useful. Wondering when Alexa will have a skill for my primary bank (US Bank).,2017-01-04,8979dff7-4a15-49ad-a837-eac8caefc4cc,5.0,Capital One,1503627777.1882722,Easy setup and works great,2
Wendy,1,"I like being able to get my credit card balance on the go.  I also like the idea of being able to make a credit card payment, however, if you have already met your minimum amount due for the month and won't allow you to make an additional payment, even though there's still a balance, therefore you will have to use your app or log into your account online.  I would like to see this fixed to allow a payment to be made when there is a balance on the card, even if there is no minimum amount due.",2017-08-11,db6c6eae-0891-40df-8ae4-1933d2f1d87b,3.0,Capital One,1503627777.225049,Love the app...needs some work,1
John,0,Neat idea.  Cool that allows you to create a passcode key and that it interacts well.  Works well.,2016-06-01,44840e87-2aa7-4cda-b991-1c48bcf20ffc,5.0,Capital One,1503627783.0505679,Good idea.,11
Zane Beima,0,"It's great standard mix of commands are useful. What is my balance, what is my available credit? It all works and stays active until you say, ""that is all"".",2016-06-04,5b40870a-b194-4aa7-beaa-321fc8a86d6b,4.0,Capital One,1503627783.0704386,"If you use Capital One, this is useful.",10
