author,content,date,id,review_title,timestamp
LMH,"To start a new adventure, you can say ""start over"" while playing the game and you will return to the beginning.  You can also visit www.facebook.com/AlexaMagicDoor if you ever have questions or need hints.  Thanks so much for the review and thanks for playing!",8 months ago,e57f2e20-6f72-4eb7-b8f1-185bb9361d15,I really like this interactive app as I am a teacher and ...,1504520845.2555988
LMH,You should try it again! It works for me!,9 months ago,e68141bf-54a0-4cf8-aa09-21d960e25ac3,Worked good for about 5 commands,1504520881.208151
Andrew Huntwork,"Hi Robin. Sorry for the bad experience. We think we've figured out and fixed the resetting problem. If you continue to have trouble, please let us know on facebook. You can message us your anonymous user ID if you're willing to help us debug. Say ""Alexa, ask the magic door who am i"" to find your anonymous user ID.",10 months ago,640d4328-d47b-417d-ab17-bfe2543ca255,It's sporadic.,1504520939.966933
Andrew Huntwork,"Sorry this didn't work for you!  This story is set up to let you say ""go back"" in each area or room, which will allow you to retrace your steps.  If you ever need help, please visit www.facebook.com/AlexaMagicDoor.",8 months ago,677344ad-7313-452a-bf08-0ea9ed1cfa45,Dark forest,1504520946.379483
LMH,"This is solely due to a technical issue with Alexa, and is not a problem with this skill. It is being resolved by Amazon.",10 months ago,18c05254-0101-4e6a-8e2e-2117a303b7d9,"Enabled, bit won't work",1504520976.5428026
LMH,"We would love to help you with this issue. Please leave us a message on our facebook page,  www.facebook.com/AlexaMagicDoor",8 months ago,2fa58ae6-4746-4302-aaf0-7a8d8958b6bf,Didn't work for me,1504520976.5869198
LMH,"We would love to help you with this issue. Please leave us a message on our facebook page,  www.facebook.com/AlexaMagicDoor. Thank you!",8 months ago,025304c1-288e-4dc2-81bc-6fcb12458bc2,Would be fun if it worked properly,1504520983.2409694
LMH,"Thanks so much for your comment.  It sounds like you are stuck at the gate in the Holiday adventure.  The words Alexa is looking for here are, ""go through the open gate"" or ""go through the gate.""  If you need more help, please contact us on our Facebook page at www.facebook.com/AlexaMagicDoor/  Thanks so much for playing.",22 days ago,75918aee-411d-41aa-a759-b99c97dbcd05,Can't get past the gate.,1504520994.954569
LMH,"If you're having troubles, you can also contact us at www.facebook.com/AlexaMagicDoor.",8 months ago,592c22e5-5ec1-4387-bdff-56c521e98544,Are you paying attention?,1504520995.0262604
LMH,"Enablement issues are problems with the device and not this skill. If you continue to have problems, you should contact Amazon customer sevice.",10 months ago,b41bbd4e-8d8b-431d-b8d8-9372cd3f4995,Does not work,1504521011.3183424
Andrew Huntwork,"Hi Addictive Shopper,This is the skill author. We're sorry you had a bad experience and we'd like to help you have a better one. Have you opened the Alexa App, gone to the skills tab, searched for Magic Door, and enabled our skill? You have to do that before you can say ""Alexa, open the magic door."" If that doesn't fix the problem, could you please tell us exactly what you say and exactly how Alexa responds?Thanks,AndyP.S. Please find us on facebook at facebook.com/AlexaMagicDoor",1 year ago,e6276b8c-a1de-4720-b07e-b695d85a2c9a,my door is closed,1504521011.3409047
LMH,This is an Amazon wide problem with skills right now. Please give it some time to resolve and try again. You can always contact customer service or visit www.facebook.com/AlexaMagicDoor for more help.  Thanks so much!,8 months ago,bd526565-30f0-44d7-a4ed-5ccf7b2613df,Disappointing,1504521017.6677167
LMH,We're sorry you had this experience. We would love to help you and make sure it doesn't happen again. Please contact us at www.facebook.com/AlexaMagicDoor  Thanks!,7 months ago,0a079713-bef8-4631-8396-f5f5fd143707,Doesn't work for me,1504521017.7530925
Developer,We discovered an issue with certain text characters that were in some questions and which caused problems for Alexa. These have been fixed. We encourage you to play this week and let us know if your experience is improved.,9 months ago,0cfadf35-47fa-4ec4-9d70-fe2cb7c21dcc,"""Upgrade"" ruined this Alexa app",1504521035.0416794
