author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
Amazon Customer,0,"So you may know me as xXx69FidgetSpinnerPro69xXx on the web, I used to make clickbaity youtube videos with fake fidget spinner giveaways back in the day. One day however I stopped, and disappeared from the web entirely, that's because I discovered this skill, I assure you that this is much better than an actual fidget spinner, more fun and addictive. This app also helped me become one and find peace, with this app I started my fidget spinner pilgrimage where I would spend days with the door to my room locked, my parents, after much crying started to slide me food under the door. Every time I got a plate I made sure to spin it in prayer to the fidget god before eating. The only other thing I did was play Fidget spinner using the amazon dot, just me and Alexa. However last night I had a dream, where the god of fidget taught me how to make a iphone out of dead rats and plates so that I could rate this game and spread my the love of fidget!FIDGET BLESS YOU","on September 3, 2017",f5c268f4-1313-4e80-a78c-3da3aaa7b9ed,5.0 out of 5 stars,Fidget Spinner,1504520710,This skill allowed me to start my fidget spinner pilgrimage.,0
Blue sky,0,"This is pointless, a wasting time thing. For me it doesn't make any sense.I can't imagine myself sitting down telling Alexa want to or 3  and then she tells me  how many rounds my fidget spinner made.","on September 2, 2017",6e20b3fb-1d14-46ee-8705-488422802a96,1.0 out of 5 stars,Fidget Spinner,1504520710,?§£Completely ridiculous!,0
Benjamin Combee,0,"It's pointless, but it provided several minutes of laughs in the office.","on September 1, 2017",fb4522d4-73fa-4609-8388-06a6a6732f87,4.0 out of 5 stars,Fidget Spinner,1504520710,Four Stars,0
Sarah Johanna Willingham,0,Very enter,"on June 13, 2017",0deacb15-02f2-4bed-9c6a-8ea5c77bfe0d,5.0 out of 5 stars,Fidget Spinner,1504520710,Fun!,2 people found this helpful.
jordan492,0,"This skill is just dumb.  You basically choose random virtual fidget spinners then Alexa spins them, tells you how many times they spin and unlocks new virtual fidget spinners to spin.  My 9 year old and I may not be able to agree that physical fidget spinners are dumb but at least we can agree that virtual spinners are.","on July 12, 2017",84a4e28f-044d-4d40-8822-1111688dad9e,1.0 out of 5 stars,Fidget Spinner,1504520710,Pointless and just dumb,One person found this helpful.
BlueLightningJeep,0,"I'm an adult and I love this! So much fun to go on adventures and there are many ways to go and a lot of decisions to be made. I go on adventures every morning as I'm getting ready to go anywhere! It works really well for the most part. Once in a while she doesn't give me an option I think I should have (lol) or she will disconnect, but the great thing is she always takes me right back where I was and I don't have to start over. I love how we are on this adventure together...just Alexa and me, how she gets scared in some places, and when she's thinking and says &quot;hhhhmmmm....&quot;. Lol. My friend Alexa...I think we really started bonding on this adventure!!! :D","on February 9, 2017",7f728af1-a251-4d86-841a-b36587c2138a,5.0 out of 5 stars,The Magic Door,1504520722,Addicted adult,21 people found this helpful.
Amazon Customer,0,"This is a fun set of choose your own adventure stories.  The adventures are quite short, but each paints a fun picture with Alexa's text to speech and creative use of question and response.  Though simple, there are even some sound effects creatively used to enhance the stories.  I do get a sense that some stories got a little more attention than others and we were able to get Alexa stuck at one point, but this skill has a ton of potential.  My family digs it and we hope there are some story updates and additions in the works.","on February 13, 2016",566d0c4c-6c15-4b1a-af72-edc96ca919a3,4.0 out of 5 stars,The Magic Door,1504520722,Good and has potential...,72 people found this helpful.
Frank S Miles,0,"This is a verbal adventure game that is well done and quite creative.  Sure to be fun for a family to play.  It's a little too quick for now, but I'm hoping they continue to develop it.","on February 10, 2016",b3b8d977-2af8-447d-add0-7b09feada158,4.0 out of 5 stars,The Magic Door,1504520722,Great fun!,43 people found this helpful.
SandyKL,0,"I enjoyed my first adventure. I am over 65, but had fun and relaxed.  It brought Smiles to my face and laughter.  This is nice for kids but I think older people will enjoy this and relax and laugh.  Very good.","on April 16, 2017",b4d77d8a-254b-4845-9f7e-98a1253e42de,4.0 out of 5 stars,The Magic Door,1504520722,"Old But still Enjoy this cute relaxing, thinking skill..  Good for All Ages",14 people found this helpful.
stephanyb3636,0,"This was a lot of fun - i only went through two different stories so far, but i plan on trying to find them all.  It will be great when the stories are a little more involved and expanded. I would recommend the magic door..... but be warned, the monkeys scared my cats to death!  i couldn't stop laughing.","on March 11, 2016",1b613e73-83ca-4a81-89d7-dd8e0a0f82bd,5.0 out of 5 stars,The Magic Door,1504520722,Very fun! would love an expansion!,18 people found this helpful.
