"by Capital One Services, LLC",Business & Finance,"['""Alexa, Open Capital One""', '""Alexa, ask Capital One what\'s my account balance?""', '""Alexa, ask Capital One to make a credit card payment.""']","Ask Capital One about your credit card, checking, savings, auto and home loan accounts. Then try out our new feature, ""How much did I spend?"" to get quick answers on how much and where you are spending. Once you’ve enabled the skill, say “Alexa ask Capital One…”For your credit card:· “How much did I spend at Target last month?” · “How much did I spend at Starbucks last weekend?”· “What’s my current credit card balance?”· “When is my credit card bill due?”· “To pay my credit card bill.”For your bank accounts:· “What’s my checking account balance?”· “What are my recent transactions?”For your auto loan:· “What’s my car loan principal balance?” · “What's my payoff quote?”· “When is my car loan due?”· “To pay my car loan bill.” For your home loan:· “What's the principal balance on my mortgage?”· “When is my next mortgage payment due?”· “How much is my next mortgage payment?”To get started, sign in with your Capital One username and password (which we keep completely private). You can also create a personal key for extra security.  We're always learning and building new features, but we can't do that well without your feedback. If you have comments, please share them with us at www.CapitalOne.com/Alexa.",capital one,3.5 out of 5 stars,23%,4%,8%,12%,53%,145,1503582411.2451043,Capital One
by Andy K.,Business & Finance,"['""Alexa, open bitcoin exchange""', '""Alexa, ask bitcoin exchange for the current exchange rate of Euro""', '""Alexa, ask bitcoin exchange for the value of 2000 British Pounds""']","Bitcoin can say the current exchange rate of bitcoins with real currencies or conversion rate of user supplied currency values.You can use interactive navigation by launching bitcoin with the launch keyword, or ask directly.Data provided by blockchain.info.",bitcoin exchange,5.0 out of 5 stars,0%,0%,0%,0%,100%,2,1503582496.9223504,Bitcoin Exchange
by The Motley Fool,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']",Helping the world invest better – one stock at a time.,No_Invocation,4.0 out of 5 stars,9%,0%,19%,5%,67%,21,1503582504.049819,Motley Fool Stock Watch
by wxrdaniel,Business & Finance,"['""Alexa, ask coin base how much is bitcoin?""', '""Alexa, give me realtime bitcoin price from coin base.""', '""Alexa, ask coin base how much is ethereum?""']",Check Realtime bitcoin and ethereum price from coinbase's market.,coin base,4.1 out of 5 stars,0%,0%,33%,17%,50%,6,1503582523.8642657,Coinbase Bitcoin/Ethereum Price
by Doug Devitre International Inc.,Business & Finance,"['""Alexa Ask Why Remax""', '""Why Join Remax""', '""Why Should I Join Remax""']","This simple Alexa skill was architected to give a few reasons why you should consider joining RE/MAX, one of the most powerful real estate brands in the world. Simply connect the skill to your Amazon Alexa or Echo and ask, ""Alexa, ask why RE/MAX?"" It's that easy.",why remax,5.0 out of 5 stars,0%,0%,0%,0%,100%,4,1503582532.8680236,Why RE/MAX
by YNAB,Business & Finance,"['""Alexa, ask Why Nab for the balance of Groceries""', '""Alexa, tell Why Nab to record a new transaction for 9 dollars""', '""Alexa, launch Why Nab""']","Have Alexa help you gain total control of your money! The YNAB Alexa Skill makes checking a category balance or recording new spending a breeze!Never heard of YNAB? (Alexa pronounces it ""Why Nab"" and you should too.) It stands for You Need A Budget. It’s a powerful methodology coupled with award-winning software on the web, mobile, and now this companion Alexa Skill.This is a companion skill for YNAB. It requires that you first set things up with YNAB at YouNeedABudget.com. Once you have have a YNAB account, have enabled the skill and linked your YNAB account, you are ready to budget like a pro.To check a category balance:· “Alexa, ask Why Nab What’s the balance of Transportation?”· “Alexa, ask Why Nab for the balance of Eating Out”· “Alexa, ask Why Nab are we able to spend any money on Gifts?”· “Alexa, ask Why Nab how much cash do we have available to spend in our Gas category?”To record new spending:· “Alexa, tell Why Nab to record a new transaction.”· “Alexa, tell Why Nab to log 25 dollars and 64 cents in Eating Out from Checking.”· “Alexa, tell Why Nab I just spent 9 dollars and 32 cents.”· “Alexa, tell Why Nab I just received 10 bucks.”· “Alexa, tell Why Nab I received 5 dollars yesterday.”At any time you can say:· ""I'm done""· ""Help""· ""Start over""· ""Quit""To get started, we'll ask you to securely sign in with your YNAB email and password and select a budget for Alexa to access. You can revoke this access at any time from the ""My Account"" page.Disclaimer: This skill may not be suitable for all ages so parental discretion is advised.",why nab,3.6 out of 5 stars,22%,6%,9%,10%,53%,32,1503582540.9505353,YNAB
by Sade Smith,Business & Finance,"['""Alexa, ask Coin Watch what is the price of bitcoin?""', '""Alexa, ask Coin Watch to give me a coin report.""', '""Alexa,  ask Coin Watch what are valid coins?""']","Coin Watch gives the current USD price of the top cryptocurrencies using cryptocompare. You can ask for the price of a specific cryptocurrency is. For example ""What is the price of Bitcoin?"" Or you can get a report of the more popular cryptocurrencies by saying ""Give me a coin report.""If you forget the supported coins listed above, you can ask ""What are valid coins?""The following cryptocurrencies are supported now: Ethereum, Ethereum classic, Bitcoin, LiteCoin, Ripple, ByteCoin, Monero, DogeCoin, Dash, Stellar Lumens, Augur, Golem, Steem, MaidSafeCoin, and GameCredits",coin watch,0,0,0,0,0,0,0,1503582563.7255402,Coin Watch
by Doug Devitre International Inc.,Business & Finance,"['""Alexa, open womens council""', '""why should I get involved""', '""what\'s in it for me""']","Getting involved in the Women's Council of REALTORS® is one of the best decisions you can make if you are serious about advancing your professional career in real estate. Curious to what we offer? Ask Amazon Alexa why you should get involved, what are the benefits, what's in it for you if you join.",women's council,5.0 out of 5 stars,0%,0%,0%,0%,100%,2,1503582566.4126942,Women's Council
by IDT,Business & Finance,"['""Alexa, ask BOSS Money What is the fx rate for Guatemala""', '""Alexa, ask BOSS Money What\'s the exchange rate for Nigeria""', '""Alexa, ask BOSS Money What\'s the fee to send to Mexico""']","Use BOSS Revolution Money to get the FX rate for 30+ countries including Nigeria, the Dominican Republic, Guatemala, Mexico, the Philippines, Honduras, El Salvador and more.Simply say, ""Alexa, ask BOSS Money What is the fx rate for Guatemala?"", and you will get the current exchange rate (to 1 USD) and low fee. You can also just say, ""Alexa, start BOSS Money"" to get started.",boss money,5.0 out of 5 stars,0%,0%,0%,0%,100%,1,1503582573.8434477,BOSS Money
by Vadim D,Business & Finance,"['""Alexa, what\'s my Flash Briefing?""', '""Alexa, what\'s in the news?""']","Fresh out of college, he took his family wine business and grew it from a $3M to a $60M business in just five years. Now, he runs VaynerMedia–one of the world’s hottest social media-first digital agencies. Along the way, Gary became a prolific angel investor and venture capitalist, investing in companies including Facebook, Twitter, Tumblr, Uber, and Birchbox before co-founding VaynerRSE, a $25M investment fund.",No_Invocation,0,0,0,0,0,0,0,1503582581.1904812,Unofficial Gary Vee Flash Briefing
