author,content,date,id,review_title,timestamp
Muse,"Thank you for the update Jeff. I am still working on compiling a short general description of the sounds I've listened to, there are so many which is wonderful! I appreciate the updates and feedback as well. I had figured that some of the limitations might not be from the apps but from Alexa itself so it is a good as a consumer to know. I will be updating my list and giving it an additional star as the app continues to grow and expand. Cheers!",3 months ago,b9d1d08f-a506-4119-a51b-9d7c268523f0,Decent Sounds,1504381085.24111
Jeff Bolton,"Thanks for the review and feedback, Muse!  The list of sounds is getting longer and longer every week.  Although we slowed the playback of the list down several days ago, we are afraid if we slow it down any further, it will take too long to go through all of the sounds. For that reason, you can find the full list of sounds in the description on the Sleep Sounds skill page.  We will continue to keep that page updated as we add new sounds.Unfortunately, we are limited by the Alexa system when it comes to switching sounds.  You can say ""Alexa, Next"" or ""Alexa, Previous"" to go from one sound to another.  If you want to go to a specific sound, however, you have to say ""Alexa, tell Sleep Sounds to play Thunderstorm"".  This is a limitation of the Alexa system and not something we can fix.  Hopefully, Amazon, will improve this in the near future.",5 months ago,eafc477a-3e9b-42db-8d0f-12c637c0d3a1,Decent Sounds,1504381085.241549
S. Galloway,"How is it fixed?  We still have it cut off after an hour or so, sometimes only 3 minutes then stops.  We would like it to last all night.  Thanks, Scott Galloway",17 days ago,a14fd285-ad97-4983-937c-f93f70d9de0a,Sound now cutting off after less than an hour (Now fixed),1504381085.368767
Steve Keating,Just purchased an Echo on Prime Day and used it last night. Sleep sounds are stopping after about an hour....what it the fox for this?,1 month ago,9b8cbb30-ee03-479c-bb2b-6a6ffbb71be2,Sound now cutting off after less than an hour (Now fixed),1504381085.3691242
Art Smith,"Hi Jeff, We have been experiencing this issue this week. Any updates? Thanks!",2 months ago,5c9cf7a1-cda8-456b-a730-5b898cd04a8c,Sound now cutting off after less than an hour (Now fixed),1504381085.369914
R. Seehoffer,"Thank you, Jeff. It does appear to be working now. I've changed my comment accordingly. Much Appreciated!",3 months ago,e7afdba5-1d93-4dcf-ab05-624c8b24fa50,Sound now cutting off after less than an hour (Now fixed),1504381085.370456
Jeff Bolton,Hi again!  Just wanted to let you know we've put in a temporary fix until Amazon resolves the issue.  The sounds should play all night now.  Thanks again for your patience!,3 months ago,9e5e41dd-e194-47ec-b640-0cf3fe0dde31,Sound now cutting off after less than an hour (Now fixed),1504381085.3707972
Kim from Kanada,See th above review. It can be fixed apparently,3 months ago,2e2acd37-6117-4feb-9a5c-db496a6f338b,What happened during the update?,1504381091.3679821
Jeff Bolton,"Hi Patrick!  I want to apologize for the intrusion we've made into sleep time with you and your twins!  We've actually tried really hard NOT to provide too many messages or announcements...especially when you invoke the skill directly.   Unfortunately, we've had a bug in the system that has caused some people to get multiple messages and verbose welcome announcements almost every time they open the skill.  You are obviously one of the unlucky ones!  The good news is that we have resolved the problem and you shouldn't hear those repeated messages any longer.  Again, we apologize for our error and hope you'll give Sleep Sounds another try.  If you have any questions or problems, please e-mail us at support@sleepsounds.io.  We are always here to help!",22 days ago,585208e7-f73a-4dda-9438-d6fc48c2f195,"Good Skill. Until it was ""Improved""",1504381091.404372
Jeff Bolton,"Hi Jim!  I'm sorry you are having trouble activating your membership.  As part of the checkout process, several things should have happened.  After your payment, you should have been taken to a registration page where you were asked to register your account.  You also should have received a welcome e-mail with information about your membership.  If these things didn't happen for you, please e-mail us at support@sleepsounds.io and we'll be happy to help.  Also, you can always go to https://sleepsounds.io and find all kinds of great information about us and our skill.   Keep checking back as we are continuously updating it!",24 days ago,6a51f605-1708-4121-921e-f327ffa4c5bb,I'm changing my review- great program for premium membership.,1504381091.4978292
Jeff Bolton,"Hi Bryan. We're very sorry about the interruption!  We will only play a short announcement every once in a great while when we have some important news to tell you.  The message will only play once.  We hope you will forgive us and continue enjoying this Free skill!  If you have any questions or comments, please e-mail us at support@sleepsounds.io.",1 month ago,bb73e0b4-3385-41af-8e4e-e3ea1059ab13,Loud ad when you are trying to sleep,1504381097.371099
