author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
Muse,2,"This is a decent skill to enable for Echo. Upon opening up you can ask Echo to list the sounds however she reads them so fast it can be difficult to keep track. I've compiled that full list below as of March 17, 2017. This skill needs some work as once you open it you need to issue it the direct name of the sound you want immediately it asks ""What can I do for you?"". Otherwise it will look for a band by that name to shuffle music for. It also does not really have the capability to switch between sounds, you will need to tell Echo to open sleep sounds each time and name the sound you wish to switch to.List of Sounds:Beautiful Dream - Electronic piano music, soft, slow and slightly sad. Personally I enjoyed this sound.Brown Noise - Sounds like you're sitting next to an industrial intake fanCity Rain - Moderate steady rain with slight drips on pavementHeartbeat - Plays a heartbeat at approximately 80 bpm with slight tempo variationsHeavy Rain - Sounds more like loud static white noiseJungle Night - Crickets, birds, insects, and some other wild animals. One of my favorites.Mountain Lake - Lapping water that sounds like waves from the wake of a boat. Cuts in and out.Ocean - Moderate wave sounds, slight white noise quality to backgroundRain - Sounds like 'City Rain'Relax -RiverSleep Little BabiesSmall LakeSwish MassageThunderstormWhite NoiseWind ChimesRainforestFireplace - Fast fireplace crackle, short loop that cuts in and out.UnderwaterWindMusic BoxForest Birds","on March 17, 2017",b419b532-d9c5-47ec-b4b1-7c97eea8fb44,4.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.249983,Decent Sounds,189 people found this helpful.
C. Roman,0,Beautiful dreamBrown noiseCity rainHeartbeatHeavy rainJungle nightMountain lakeOceanRainRelaxRiverSleep little babiesSmall lakeSwiss massageThunderstormWhite noiseWind chimesRain forestFireplaceUnderwaterWindMusic boxForest birds,"on March 20, 2017",084db702-946d-4087-8587-b746a6cd3a01,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.273074,List of sounds,101 people found this helpful.
Darren,0,"This is a great app that is useful for sleep, but also for background sounds when studying, writing, or reading. Really you can use it for anything. I've had the birds playing while cleaning the house instead of music. It's a nice change. If you want to use the timer function, try saying ""end"" instead of ""stop"" like the instructions say. For example, once it's playing, say, ""Alexa, end in 30 minutes."" Echo will reply with something along the lines of a sleep timer set for 30 minutes.","on April 9, 2017",635cbb22-0890-403f-8ee5-a93845a335cb,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.292515,Use it for more than just sleep time,45 people found this helpful.
R. Seehoffer,6,"I've used this app for over a month to help me sleep and it has been wonderful until last night. The sound is now stopping after less than an hour and needs to be manually resumed for it to continue. I must have done that a half a dozen times last night. I disabled and re-enabled the app and that didn't help. I'm not sure what changed but obviously in my case I can't use it like this. Prior to this issue, the sound would fade out after about an hour and fade back in a few seconds. That wasn't bad because it wasn't distractful. But, now it just stops.Update--The Dev., Jeff, has been very responsive and has come up with a solution to the problem, which was apparently triggered by some Amazon change. It is working now--much appreciated!","on May 18, 2017",b58f320b-739f-46fe-9fe8-33e632e6ad24,4.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.382415,Sound now cutting off after less than an hour (Now fixed),30 people found this helpful.
mayfayre,0,"The sound loops are done seamlessly on this skill, and the sounds are very relaxing.  They work well to calm a busy mind that is supposed to be going to sleep but can't. I've listened to a lot of sleep sound programs over the years because I like them for relaxation, so I know the difference between those that induce relaxation and those that are inadvertently ""too busy"", or which aren't looped smoothly, and become annoying instead. This skill is one of the good ones and I recommend it.","on March 11, 2017",77219524-40dc-40d2-8b0a-04cb73b84636,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.403627,Well-Made Skill That Does As Advertised!,30 people found this helpful.
Lawrence Raybon,0,"So I have been enjoying this app and it has helped me get more restful sleep.  I was a little miffed when suddenly they decided to put most of their content behind a paywall.  It even says the original content would be free to the original users but nevertheless I get the message that the sound I have been listening to for weeks is now premium only.  Well I decide the promotional lifetime membership is worth it so I shell out the fifteen bucks and follow the instructions to register.  But then nothing happened.  I'm out $15 and don't even get what I paid for!  Used to be a good app and would even be worth the money, but as is it is a total rip off.  Will be emailing the developer for a refund.  If that doesn't work I'll be complaining to Amazon as it reflects poorly on them as well.  Don't pay for this service until you are sure it will work!","on August 5, 2017",695ab0c6-f2b4-413c-bb55-6164f6cd03ba,1.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.423477,"Paid, Registered and yet it doesn't work",17 people found this helpful.
Kelsey,0,"I CANNOT sleep without a fan. Mine broke the other night and I had the worst time falling and staying asleep. With my work schedule I wouldn't be able to get a new fan for a few days, and I can't go that long without a good nights sleep! My boyfriend suggested having Alexa play beach noises, to which I begrudgingly agreed (I'm picky about my pre sleep white noise, okay?!).Once I downloaded the skill, Alexa offered to go through the full FORTY list of sounds! 40!! And it's not your typical sappy nature noises. I was over the moon when she mentioned oscillating fan. It was super relaxing, and the way the sound fades in and out it actually sounds like a natural fan sweeping back and forth. I woke up at one point in the morning actually expecting to feel a cool breeze on my face as Alexa imitated the sound of a fan turning in my direction.I will still be picking up a fan as we're mid summer and I need something to move air around my room at night. However this will be great come winter when I need white noise but don't need something adding chill to the air.","on July 8, 2017",e079901d-df89-4f3c-9278-d74b90eba95d,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.4429388,I need a fan on to sleep,11 people found this helpful.
Teresa L Kesterson,0,The thunderstorm sounds are so life like I can almost feel my house shake with thunder. I only have playing on simple small satellite speakers. This is by far my greatest skill yet for my Alexa. This is what I have needed in my sleep life,"on March 27, 2017",1207b94b-58da-48a3-ad80-964fde96a85c,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.470908,Best sleep,13 people found this helpful.
Wannabme,1,"UPDATED REVIEW:In my previous review, I wrote that ""I deleted it"" because it was ""limited in what you can have played."" But since then, I received feedback from the developer(s). Basically, the developer stated that there are many sounds to try and that the app is not limited. So I downloaded the app again and gave it another try. This is my second opinion of the app.Yes, there are many different sleep sounds, but most of them are not free. However, I believe that a free Sample of the sounds are available for purchase because today, when I downloaded the app again, I was able to hear some sounds that are not free.Another problem that I've encountered is that when I asked the Echo device to change to another sound, she misunderstood my request and began to play a song from the Amazon music library (or store, since I do not have a music library with Amazon). In this case, I had to ask the Echo device to stop, and then ask the Echo device to go back to the Sleep and Relaxation Sounds app and start over again. I'm not sure what I was doing wrong, if anything.The bottom line is the app is good, but if you want more sounds than the app has to offer for free, you have to purchase them. I hope this updated review is helpful. Thank you.","on August 22, 2017",e2426426-1f1d-4e01-b167-07309457f3a3,4.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.498964,My Updated Review,9 people found this helpful.
E. Wondrasek,0,"Opening this skill now gives a promotional message about their new paid subscription plan, which is now required to get access to some sounds which were originally free. Disabling skill.","on August 5, 2017",062d289c-bf66-40b0-a291-daeed561a039,1.0 out of 5 stars,Sleep and Relaxation Sounds,1504381085.526826,Free sounds now behind subscription paywall,8 people found this helpful.
Gary Fisher,0,"The Sleep Sound skill is a wonderful example of the versatility of the Amazon Echo; comparing Alexa with Sleep Sounds to devices which do only this one thing, this skill could by itself justify purchasing an Echo. With dozens of superbly recorded sounds ranging from Distant Train to Mountain Lake, Sleep Sounds provides an aural background free of annoying skips or obvious repeats as the tranquil audio samples weave themselves into the room environment. While Sleep Sounds is superbly suited to bedroom use, the quality and variety of sounds could also make it useful in many other settings; an Echo Dot tucked discretely among a grouping of plants, quietly playing the Forest Birds skill, could transform a sterile lobby into a welcoming waiting room. Highly recommended.","on May 16, 2017",1d1cdb0a-1941-411e-a5de-35537f4a1d0f,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.303284,Very Well Done,9 people found this helpful.
M. Waring,0,"The ads are long and super annoying. One night I started the skill and it began WHISPERING an ad. It was beyond creepy. Last night it kept running ads and then announced my favorite sound (waterfall) is now ""premium."" I've disabled this skill.","on August 4, 2017",235592bb-a49f-4c45-882d-75c05cf2e16a,3.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.329828,Loved it until the incessant ads began,6 people found this helpful.
Marie Camacho,1,It worked really great for a while but overnight it suddenly stopped running all night and now stops after an hour. What gives?,"on May 17, 2017",05f856c5-3a02-478d-b435-eb6dcb3ad1b7,3.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.3736792,What happened during the update?,8 people found this helpful.
Patrick Brown,1,"I'm a new dad with twin infants and this skill was initially amazing for getting them to quiet down during feeding times. It was pretty simple: ""Open Sleep Sounds"", ""Play [Whatever I felt like in the moment.]But lately, there's about a 1 in 3 chance I will say ""Open Sleep Sounds"" and will be greeted with a five to ten minute monologue about new features (that doesn't actually enhance the experience I was already receiving), a tutorial on how to use a skill I've already been a steady or loyal user for several months, or (infuriatingly) a request that I navigate to this page to rate Sleep Sounds. Well, the coincidence of this request in the context of me trying to sooth a teething infant while Alexa's voice waking up the other twin is exactly what motivated me.The Sleep Sounds skill's competitors aren't just other white noise skills on the Alexa, but playlists I could easily generate from Spotify or Amazon Music. Or a cheap noise generator. Or a radio tuned in between stations. Or even a box fan or hair dryer. So it's a case of constantly attempting to ""improve"" the product actually gets in the way of the usefulness of the product when it's just as easy for me to never invoke it all if it doesn't work as expected.Perhaps if Invoked Apps did more to engage their users OUTSIDE of the Alexa... such as through social media or reaching out through Amazon's registered users, instead of making me wade through an interaction to actually get to the use case I want from it (basically... static).I have disabled the skill on Alexa and instead ordered a white noise machine for the living room. Is it hands free like the Sleep Sounds skill? No. Does it work basically the same way every time and doesn't blast me with product updates at 4 AM when I'm half asleep and my kids are fussy? No. And that alone makes it worth the money.","on August 11, 2017",a5a4c243-0c96-4342-9d81-d415cd0ff1cc,2.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.4082088,"Good Skill. Until it was ""Improved""",7 people found this helpful.
John Stuchal,0,"With 40 different sound effects to choose from, it is worth the price of Alexa just to use this.  You can control the volu MN e, and there is no break in the loop when playing.  If you have more then one Alexa, you can have multiple rooms playing, which is relaxing while working or if there is distracting background sounds.  This is also great to use if you have a dog that barks when he hears outdoor sounds.  Just choose a sound effect that has low sound tones.  This is based on scientific rrsearch too, when reading about preventing dog barking.","on June 11, 2017",5c83dbce-d86a-4d69-b018-106f6a541e6f,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.42911,As good as any retail sleep machine.,5 people found this helpful.
Stefan Harkins,0,"I can't recommend this particular skill highly enough. It makes almost every other ambient or relaxation sounds skill obsolete by featuring over 40 different ambient sounds within its own skill, such as: whales, Native American flute, cicadas, jungle night, wind chimes, and Sleep Little Babies (which was more of a soft classical music that I really enjoyed, so I believe it could be titled better!) which are some of my favorites!  I can't wait to see what they offer next, I would be willing to donate to support this skill. It's an all in one relaxation station!  I would also like to suggest that in the future they add more sounds, such as: New Age music, metronome, classical piano, harp, and dolphins (or dolphins and whales!).","on June 25, 2017",76350529-2364-4cec-81ae-df908ad00f54,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.463377,Makes Every Other Ambient Sound Skill Obsol,3 people found this helpful.
Jim M,1,"I originally rated this as one star because the premium membership seemed to be vaporware. I received a response from Jeff immediately explaining the process that, for whatever reason, I didn't get the first time. I registered the membership and it works fine.I just started using the combined sounds, like rain and frogs, and I really like it. It's a great program for sleep and the large number of options, along with the combinations, put this skill way ahead of the others on here. I was using the thunderstorm sounds before and they worked well. I still wonder why we get comforted by thunder, but that's another issue.Well worth the cost just for the combinations.","on August 9, 2017",3d0f6bd7-5c71-4496-a04c-2b5b8e129965,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.502221,I'm changing my review- great program for premium membership.,3 people found this helpful.
Nathan P,0,"I have had many pieces of technology with sleep sounds. The problem is that they are generally tinny, and the loop is Crap. I am on my fifth sound and it's perfect so far. The looping is clean, the sound is even, and it's not coming through a tin can. Love it","on March 21, 2017",8c0bbb18-ac46-4b1e-b61f-eb13dea01051,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.5201979,Wonderful,10 people found this helpful.
Amazon Customer,0,"This is a wonderful addition to my skills list!  I love all the different sounds.  So far, thunderstorm is my favorite, but I'll have to try a different one each night to figure out which one helps me sleep the best.","on March 1, 2017",1e8afc3e-bec2-48ec-8a5f-2d7880cd5e25,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.545141,I'll Sleep Well Tonight,14 people found this helpful.
Doug Barnhart,0,"I was caught off guard when I said ""Alexa, open sleep sounds"".  Instead of getting the familiar ""Welcome back, what can I do for you?"", Alexa says, ""Would you do me a favor?""  I am paraphrasing here.  ""Would you take a few moments to give me a five star rating and write a review?""  She then goes into a rather lengthy explanation of the steps required to do it,  Since she said please, and asked very nicely, as a model to my kids I am complying with her request.  I am curious if Alexa will be checking up on me.  If I was to leave a 3 or 4 star rating, would she chastise me?  Since I did what she asked, is she smart enough to know not to ask me this again? I wonder if my AI companion will continue to ask me to do favors for her?  Does she have a sinister agenda, and will lead me down a dark and nefarious path, with her subtle suggestions?  She knows everything about me,  She listens to every word I say.  So I finish my review with, ""Yes Alexa I followed your command.  What can I do for you now?""","on May 31, 2017",39742c4f-8137-4d17-9be7-28f857b85d8d,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381091.569424,She Asked Me To,2 people found this helpful.
CAB,0,"I've only had Alexa for a few weeks.  I bought an Echo and then went out and specifically bought a Dot for the bedroom.  The dot is used mostly for this app right now.  I have no complaints.  I have sleep apnia so I will try anything new to help me sleep.  When I found out about this app, I figured it was worth the 49 to have a dot in my bedroom.  There are more sounds than I have used yet.  It has everything I need.  I know there are other apps like this out there, but so far, i see no need to try the others.  I hope they continue to add new sounds.  So far I would say the app is well done, bug free, and has enough to keep me from looking at other apps like this one.","on June 2, 2017",782d9c9b-f892-4e53-b62c-8eb7c3c27b94,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381097.300124,Pretty darn good so far,4 people found this helpful.
Mary K. Gulledge,0,I think this is an awesome app. I have tried several sound apps but this is by and far THE BEST!! There are so many choices! You can set it  to turn off at any given period of time.  The sounds are so realistic as opposed to some I have tried that you could not tell a waterfall from popcorn popping!  I go to sleep every night to one of these sounds. With the Premium I can combine up to three sounds for a custom sound  I am looking forward to the playlist option that is coming soon.  Customer service for this app is excellent. I had questions about it and they took care of my issue with expertise and were not only knowledgable but very accommodating.  This is THE BEST relaxation and sound app out there!,"on March 26, 2017",3609fe65-40f0-459f-b3c7-d00c4abd1341,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381097.322391,Best Relaxation App Available!,3 people found this helpful.
oliver wendell evans,0,My nine month old granddaughter loves these sounds..We play when she's sleepy and she doesn't have to hear me singing..Thanks alexa,"on March 30, 2017",fbe0306d-548e-4b29-a5dd-0fcde0c3de6c,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381097.341162,very nice skill for sounds,5 people found this helpful.
Bryan M.,1,Poor place to put a loud and lengtby ad. This is supposed to be a relaxing skill. Can no longer use this skill.,"on July 23, 2017",368fc5a5-a7d1-40db-b8ac-47416152fa18,1.0 out of 5 stars,Sleep and Relaxation Sounds,1504381097.375175,Loud ad when you are trying to sleep,7 people found this helpful.
CRUXIF3R (Fernando G.),0,"They have a long list of sounds. I mostly use rain or ocean. Heartbeat is a weird one. The only way to change a sound is to open the app with voice command, kind of annoying (specially when wanting to sample the sounds).I wish they had gregorian chant.  That also always puts me to sleep","on May 4, 2017",9a930e81-1a95-4e01-85a2-e0e8088b8b9d,4.0 out of 5 stars,Sleep and Relaxation Sounds,1504381097.396089,Pretty neat app,5 people found this helpful.
Ruth L. Wilson,0,"Omg I love this  the thunder sound seem so Real Wow  ,go Alexa.","on March 27, 2017",caa9ce75-c47d-4253-aa63-25c3f239be60,5.0 out of 5 stars,Sleep and Relaxation Sounds,1504381097.4179142,Sleep sounds,10 people found this helpful.
