author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
David in Dallas,0,"Hearing all the fuss about Fox News caused me to try them out for myself.  As a loyal ""CNN-ist"" for 20+ years, I didn't think I'd be impressed.  What I discovered was that Fox News really is the only NEWS organization left that presents both sides of any given position.I'm apolitical and just don't do politics. Unfortunately however, it seems CNN, NPR, and the TV networks' news divisions have all become political advocates, instead of journalists. If I desire advocacy, I can find any number of websites that suit any political point of view. I enjoy Fox News' NEWScasts however, because they present information about the world and give me the facts, without all the advocacy from the anchor.Of course they have commentary segments/shows, and all the commentators (different from anchors), on Fox News are conservatives.  During their actual NEWScasts however, it's refreshing to hear news anchors present NEWS to me in a balanced fashion, allowing me to take it for what it is (INFORMATION), without all the political spin or political advocacy that seems to have infiltrated all the other ""news"" organizations.  I think I've found a new news home.","on December 6, 2016",43569816-73c1-4737-a092-fbc5d0084c26,5.0 out of 5 stars,Fox News,1504378948.1120799,New to Fox News... It Really IS Balanced,212 people found this helpful.
Christine H.,0,I am very happy they finally offer Fox News but get rid of the commercials.,"on December 12, 2016",1883f70b-229d-4a1e-a885-72a953e9d642,4.0 out of 5 stars,Fox News,1504378948.1327438,Get rid of the commercials.,81 people found this helpful.
Ohio ✿  (•◡•) /,0,"I listened to this Alexa Skill on Fire TV and a Fire HD 8 tablet.  This Alexa Skill provides a decent snapshot of national news, sports, and trivia; however, its fatal flaw is the long ad (public service announcement) in the middle of the briefing.  The briefing went like this:  about 2 minutes news, 1 full minute commercial, about 2 minutes news.There are other Alexa Flash Briefings that provide similar news without a lengthy ad.","on December 10, 2016",0e35d56c-9f38-44fc-8880-5a03048cb3f6,1.0 out of 5 stars,Fox News,1504378948.1531851,Has a long commercial in the middle of the briefing,95 people found this helpful.
PoppaHaydn,0,"Initially I was dismayed when I asked for the news and was given the leftist biased NPR version. A quick search into the internet taught me that by using the Alexa App and ""settings"" I could choose from a variety of sources including CNBC, Fox, Wall Street Journal, BBC and others.No longer are we confined to mainstream media bias. We get to pick the bias  we want.","on January 26, 2017",5426bbd3-8ff7-418d-8dc7-e66301d0e25b,4.0 out of 5 stars,Fox News,1504378948.1733902,You can set the flash  briefing to your preference,74 people found this helpful.
Amazon Customer,0,This is so nice to be able to catch all the latest news in one. Skill works phenomenal for me. Add this..it's great to get updates as you're doing every day things around the house.,"on December 15, 2016",aa64d6c5-1591-4c58-a432-e33e097fef4e,5.0 out of 5 stars,Fox News,1504378948.1925561,So convenient and great content,51 people found this helpful.
BayouBlondie,3,Now we have all points of view on our flash briefing. It is both entertaining and frightening to hear how different the &quot;news&quot; is on different networks.,"on November 10, 2016",e591a214-b4c9-45e9-a2c7-be0386d4965d,5.0 out of 5 stars,Fox News,1504378948.252481,Finally,55 people found this helpful.
Pete,0,Tried several news apps and this is my favorite.,"on November 20, 2016",79332313-dcb7-4bd0-9840-b952ddacfeef,5.0 out of 5 stars,Fox News,1504378948.270549,This is the news app I was waiting for,52 people found this helpful.
Chris Koji,0,"It's great for news but I just wish this one and all the other US stations would talk about more than Trump, for good or bad, there are other things going on in the world (this is the same for CNN, MSNBC etc)","on August 30, 2017",1fa2866f-269f-46a2-9f17-596592e299e8,4.0 out of 5 stars,Fox News,1504378948.29099,Great for news,4 people found this helpful.
Amazon Customer,0,"I saw a lot of complaints in earlier reviews about a giant advertisement in the middle of this news briefing, but over my first two days of using the skill, I don't have a single advertisement... just a really good news summary that covers all the bases. The content and length is perfect. When I get up in the morning, I don't like to have to wait through Fox and Friends babbling about inane things and talking over their guests to finally get to the headlines at the top and bottom of the hour... at 0500, I don't need the irritation and I don't have the time. Now I get just the news without the fluff while I'm rushing to get out the door and can save the chatter and goofing around for days when I have time for it. Efficient and informative.","on April 22, 2017",5e1ced47-6f44-4005-83b9-3c905ae805d8,5.0 out of 5 stars,Fox News,1504378948.3099022,They listened,54 people found this helpful.
Eric T. Astleford,0,"They just wanted to know if the app works or not. Amazon isn't concerned with your political beliefs. Does Fox News come up when you ask it to? Then surprise, it does work! This is not the place to review your opinion of its content. Go enable and MSNBC News skill if you don't like Fox. It's not that difficult.","on May 13, 2017",c395ef03-4aa9-40b5-a8b6-99ea7c8e1dd4,5.0 out of 5 stars,Fox News,1504378948.328562,The app works,48 people found this helpful.
