author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
R. Seehoffer,1,"The skill itself isn't bad--in fact I used it for a couple months without issue. My concern is that the pin code necessary to access account information, pay bills, etc is stored as plain text in Alexa's voice history list, and can be read by anyone who looks. 99% of people are not going to know how to go on Amazon through their PC and clear that history, or scroll through hundreds of entries and delete it from the Alexa app. This to me pretty much negates the security aspect of requiring a pin, and so I removed the skill.","on January 10, 2017",257b162a-8190-4db8-9fcc-b5fbdaa5e365,3.0 out of 5 stars,Capital One,1503627770.8015912,"Not a bad skill, but access pin is readable by anyone, even months after the fact.",27 people found this helpful.
Logan,1,"This is an awesome feature. However I can't seem to make a payment unless I've been billed. Since I usually pay in advance this isn't quite as convenient as I was hoping it would be, but it is still really convenient to at least check my account balance.","on December 1, 2016",760830e4-8cd4-406e-a986-aee90b85913a,4.0 out of 5 stars,Capital One,1503627770.838759,Does ALMOST Everything Perfect,14 people found this helpful.
Antonio,0,Very convenient to stay up-to-date information about my account. It's also great that it's secured with a 4 digit code before opening. Hopefully more banks job on this as well.,"on December 2, 2016",7d71e275-4b3e-4f2d-8214-3d3ef567a22b,5.0 out of 5 stars,Capital One,1503627770.860651,"Great Skill, Very Useful",11 people found this helpful.
Dustin,0,Love capital one! They invest more in tech than any other cc company. Tells me stuff about my quick silver card. Thanks guys! Keep adding more commands!,"on October 21, 2016",d389e453-6b46-479f-873e-58794bb89e89,5.0 out of 5 stars,Capital One,1503627770.884605,Cool!,8 people found this helpful.
Tom Poole,0,"Technology done right! Frictionless, easy peasy. C1 is setting a new standard.","on December 3, 2016",23c3ab15-c98c-4fb1-bf76-b74df11a86f0,5.0 out of 5 stars,Capital One,1503627770.9101472,Awesome Skill!!!,7 people found this helpful.
Maria M. Graciano,1,Would be nice if you could restrict which of your accounts the app has access,"on November 29, 2016",185ddf7a-0132-497e-a5cb-12431b803895,4.0 out of 5 stars,Capital One,1503627770.947316,Four Stars,7 people found this helpful.
s@mw1se,4,"This is amazing! I'm sure the functionality will continue to expand, but blown away that I can check my balance and pay a bill without having to use an app.","on March 11, 2016",552017c0-c7a9-47a6-a3c9-dfeca2e81dfe,5.0 out of 5 stars,Capital One,1503627771.012994,"Alexa, you just made my day!",15 people found this helpful.
Mike303,1,"Extremely useful to check balance, the days spending etc. These are the type of skills that make Alexa most useful, in my opinion anyway.Can’t wait for other banks to follow suit. I saw a couple reviews that mentioned they had trouble setting up, or it wasn’t working correctly...Absolutely no issue setting up on my end, took 20 seconds and everything works perfectly","on July 11, 2017",3ebccbd1-c545-40ea-afff-cf42b1edf85a,5.0 out of 5 stars,Capital One,1503627771.041951,Excellent!,3 people found this helpful.
Andrew E Wilkinson,1,"A slight bug...  when I request to make a payment of some amount of dollars &quot;and one cent,&quot; it doesn't map the &quot;and one cent&quot; to an amount, so it asks me to confirm payment of just the whole dollar amount. If I say &quot;and one cents,&quot; it maps that correctly to the additional $.01.","on October 21, 2016",2679a404-0419-4880-8d12-7e90c192f6b7,3.0 out of 5 stars,Capital One,1503627771.075618,Promising overall!  Noticed an NLU bug.,5 people found this helpful.
Amazon Customer,0,"May need a lil tweaking , only only to make payments from one save card wont allow you to change to a different card  that is saved on ur capital one accout","on November 26, 2016",740d0e86-72ff-4ce6-8ab1-b8212c3445ef,4.0 out of 5 stars,Capital One,1503627771.096087,Mulitiple card,10 people found this helpful.
Robert,0,"Now this is a really useful skill!  We have multiple accounts with Capital One - 360 Checking, Savings, and also a credit card.  This skill allows us to check balances on all of them.  It will also list (i.e. say) recent transactions.  It's just a little bit slow right now, but I'm sure that will improve.We are really eager for this skill to develop even further, e.g. search for transaction by merchant name, transfer funds between accounts, send a check, etc.  But even in the meantime, this saves the need to login the old fashioned way for basic info!","on March 26, 2017",235d41e7-1a09-44a7-8770-0bccecfe37b5,4.0 out of 5 stars,Capital One,1503627776.937122,The Promise of Alexa Realized,6 people found this helpful.
B. Toy,1,Great skill.  I wish it linked to my Capital One investing account though.  Highly recommend enabling this skill.,"on October 20, 2016",f89a9b57-6b0d-498c-83c4-07f64d923349,5.0 out of 5 stars,Capital One,1503627776.975102,Worth Enabling,6 people found this helpful.
Janice M,0,Performs exactly as stated,"on December 3, 2016",9649bba0-cbf0-4895-888a-3de7b0d50213,5.0 out of 5 stars,Capital One,1503627776.998209,Great,6 people found this helpful.
D. Lamb,0,Does what it does very well. Keep doing more!,"on November 30, 2016",1a3ba7af-c309-42df-802d-1668f7181dcd,5.0 out of 5 stars,Capital One,1503627777.023031,Superb,5 people found this helpful.
Mikko,0,No issues with the app. It does what it says. The only thing is you have to ask Alexa to open Capital one first before you can ask anything about your account.,"on December 22, 2016",b40ca7dd-2118-4c07-8b08-71efbb2c5e63,4.0 out of 5 stars,Capital One,1503627777.045922,Good app,4 people found this helpful.
Amazon Customer,1,I can't link my account despite trying numerous times to do so. Frustrating app thus far. Only one star because it's required for rating.,"on December 22, 2016",afe88edf-cc24-4f75-886a-baefd8341d0d,1.0 out of 5 stars,Capital One,1503627777.08364,Frust,4 people found this helpful.
kojak35,0,This is one of the best skills on Amazon Echo.  Love it. Thank you Capital One for being on the leading edge of technology.,"on March 11, 2016",b80c53c2-892a-4817-9063-4dc78baee289,5.0 out of 5 stars,Capital One,1503627777.105557,Love it,15 people found this helpful.
