R. Seehoffer,1,"The skill itself isn't bad--in fact I used it for a couple months without issue. My concern is that the pin code necessary to access account information, pay bills, etc is stored as plain text in Alexa's voice history list, and can be read by anyone who looks. 99% of people are not going to know how to go on Amazon through their PC and clear that history, or scroll through hundreds of entries and delete it from the Alexa app. This to me pretty much negates the security aspect of requiring a pin, and so I removed the skill.","on January 10, 2017",3.0 out of 5 stars,Capital One,1503582420.5800736,"Not a bad skill, but access pin is readable by anyone, even months after the fact.",27 people found this helpful.
Logan,1,"This is an awesome feature. However I can't seem to make a payment unless I've been billed. Since I usually pay in advance this isn't quite as convenient as I was hoping it would be, but it is still really convenient to at least check my account balance.","on December 1, 2016",4.0 out of 5 stars,Capital One,1503582420.6021316,Does ALMOST Everything Perfect,14 people found this helpful.
Antonio,0,Very convenient to stay up-to-date information about my account. It's also great that it's secured with a 4 digit code before opening. Hopefully more banks job on this as well.,"on December 2, 2016",5.0 out of 5 stars,Capital One,1503582420.614665,"Great Skill, Very Useful",11 people found this helpful.
Dustin,0,Love capital one! They invest more in tech than any other cc company. Tells me stuff about my quick silver card. Thanks guys! Keep adding more commands!,"on October 21, 2016",5.0 out of 5 stars,Capital One,1503582420.628201,Cool!,8 people found this helpful.
Tom Poole,0,"Technology done right! Frictionless, easy peasy. C1 is setting a new standard.","on December 3, 2016",5.0 out of 5 stars,Capital One,1503582420.6407342,Awesome Skill!!!,7 people found this helpful.
Maria M. Graciano,1,Would be nice if you could restrict which of your accounts the app has access,"on November 29, 2016",4.0 out of 5 stars,Capital One,1503582420.662793,Four Stars,7 people found this helpful.
s@mw1se,4,"This is amazing! I'm sure the functionality will continue to expand, but blown away that I can check my balance and pay a bill without having to use an app.","on March 11, 2016",5.0 out of 5 stars,Capital One,1503582420.7144303,"Alexa, you just made my day!",15 people found this helpful.
Mike303,1,"Extremely useful to check balance, the days spending etc. These are the type of skills that make Alexa most useful, in my opinion anyway.Can’t wait for other banks to follow suit. I saw a couple reviews that mentioned they had trouble setting up, or it wasn’t working correctly...Absolutely no issue setting up on my end, took 20 seconds and everything works perfectly","on July 11, 2017",5.0 out of 5 stars,Capital One,1503582420.7374916,Excellent!,3 people found this helpful.
Andrew E Wilkinson,1,"A slight bug...  when I request to make a payment of some amount of dollars &quot;and one cent,&quot; it doesn't map the &quot;and one cent&quot; to an amount, so it asks me to confirm payment of just the whole dollar amount. If I say &quot;and one cents,&quot; it maps that correctly to the additional $.01.","on October 21, 2016",3.0 out of 5 stars,Capital One,1503582420.751027,Promising overall!  Noticed an NLU bug.,5 people found this helpful.
Amazon Customer,0,"May need a lil tweaking , only only to make payments from one save card wont allow you to change to a different card  that is saved on ur capital one accout","on November 26, 2016",4.0 out of 5 stars,Capital One,1503582420.7640622,Mulitiple card,10 people found this helpful.
Robert,0,"Now this is a really useful skill!  We have multiple accounts with Capital One - 360 Checking, Savings, and also a credit card.  This skill allows us to check balances on all of them.  It will also list (i.e. say) recent transactions.  It's just a little bit slow right now, but I'm sure that will improve.We are really eager for this skill to develop even further, e.g. search for transaction by merchant name, transfer funds between accounts, send a check, etc.  But even in the meantime, this saves the need to login the old fashioned way for basic info!","on March 26, 2017",4.0 out of 5 stars,Capital One,1503582425.9292254,The Promise of Alexa Realized,6 people found this helpful.
B. Toy,1,Great skill.  I wish it linked to my Capital One investing account though.  Highly recommend enabling this skill.,"on October 20, 2016",5.0 out of 5 stars,Capital One,1503582425.950783,Worth Enabling,6 people found this helpful.
Janice M,0,Performs exactly as stated,"on December 3, 2016",5.0 out of 5 stars,Capital One,1503582425.9638178,Great,6 people found this helpful.
D. Lamb,0,Does what it does very well. Keep doing more!,"on November 30, 2016",5.0 out of 5 stars,Capital One,1503582425.9773536,Superb,5 people found this helpful.
Mikko,0,No issues with the app. It does what it says. The only thing is you have to ask Alexa to open Capital one first before you can ask anything about your account.,"on December 22, 2016",4.0 out of 5 stars,Capital One,1503582425.990388,Good app,4 people found this helpful.
Amazon Customer,1,I can't link my account despite trying numerous times to do so. Frustrating app thus far. Only one star because it's required for rating.,"on December 22, 2016",1.0 out of 5 stars,Capital One,1503582426.0119452,Frust,4 people found this helpful.
kojak35,0,This is one of the best skills on Amazon Echo.  Love it. Thank you Capital One for being on the leading edge of technology.,"on March 11, 2016",5.0 out of 5 stars,Capital One,1503582426.0249798,Love it,15 people found this helpful.
Hidalgo,1,I keep trying to link the acct to the Alexa app but it keeps telling me that I have to log on to my Capital One acct and resolve an issue before linking. When I log on there's nothing wrong at all. I spoke to a rep and he informed me to contact the app administrator. Unhelpful.,"on May 12, 2017",1.0 out of 5 stars,Capital One,1503582426.0475402,Not helpful,2 people found this helpful.
maggies mom,1,One of the best skills so far! No problem linking account or using skill. Works beautifully and is very useful. Wondering when Alexa will have a skill for my primary bank (US Bank).,"on January 4, 2017",5.0 out of 5 stars,Capital One,1503582426.0706017,Easy setup and works great,2 people found this helpful.
Wendy,1,"I like being able to get my credit card balance on the go.  I also like the idea of being able to make a credit card payment, however, if you have already met your minimum amount due for the month and won't allow you to make an additional payment, even though there's still a balance, therefore you will have to use your app or log into your account online.  I would like to see this fixed to allow a payment to be made when there is a balance on the card, even if there is no minimum amount due.","on August 11, 2017",3.0 out of 5 stars,Capital One,1503582426.084639,Love the app...needs some work,One person found this helpful.
John,0,Neat idea.  Cool that allows you to create a passcode key and that it interacts well.  Works well.,"on June 1, 2016",5.0 out of 5 stars,Capital One,1503582431.252197,Good idea.,11 people found this helpful.
Zane Beima,0,"It's great standard mix of commands are useful. What is my balance, what is my available credit? It all works and stays active until you say, ""that is all"".","on June 4, 2016",4.0 out of 5 stars,Capital One,1503582431.264702,"If you use Capital One, this is useful.",10 people found this helpful.
Charu,0,Well done Capital One!! Proud of you!!,"on December 3, 2016",5.0 out of 5 stars,Capital One,1503582431.2772665,Well done !!,7 people found this helpful.
Meera,0,Works fast and smooth,"on December 5, 2016",5.0 out of 5 stars,Capital One,1503582431.28977,Awesome,4 people found this helpful.
Amazon Customer,1,"When I try to enable the skillset, it says i cannot pair my account till an issue with my account is cleared. It prompted me to login to capital one website. i logged in. no where in the website it say what the issue is and how to clear this. I have tried using the alex app on the phone and alexa.amazon.com. Completely unfriendly user experiences.","on July 12, 2017",1.0 out of 5 stars,Capital One,1503582431.3088193,Useless Application.,0
Kindle Customer,1,"Works well, but could really use some improvements. For starters, it would be nice to hear your most recent transactions when you ask for recent transactions. Instead, Alexa tells me the largest transactions in the past 30 days. What I really want to know is what went through yesterday! Also, would really like to see more support for bill pay and P2P payments, especially for accounts I already have set up. Overall, it's good for hearing your current balance though.","on December 28, 2016",3.0 out of 5 stars,Capital One,1503582431.330905,Pretty Good,7 people found this helpful.
Amazon Customer,1,It works great but i havent found a way to close a session. It just remains open so someone else could use it under my account.,"on April 5, 2017",3.0 out of 5 stars,Capital One,1503582431.3529375,End a session,3 people found this helpful.
Amazon Customer,1,"Seems like it could be good,  but 99% of the time it states it ""cannot access the capital one skill right now""","on December 7, 2016",2.0 out of 5 stars,Capital One,1503582431.3759983,What skill?,6 people found this helpful.
M. Pyyhkala,0,"This skill has many great features even in its first release. You can access many different accounts and perform a wide variety of transactions. Congratulations to Capital One  for embracing new technology! Many financial institutions take a far more conservative approach, and I am glad I am banking with capital one being on the edge. I also like subtle nuances like being able to turn off the extra pass code. I don't need that, and I am glad the capital one really thought this out.","on March 12, 2016",5.0 out of 5 stars,Capital One,1503582431.388551,Congratulations Capital One for Being a Financial Services Tech Leader Excellent 1.0 Release,11 people found this helpful.
Jeff S,1,Fast to retrieve but wont let you make a one time payment as I pay off my card frequently instead of waiting to the end. So its not only good for quick balance,"on October 26, 2016",3.0 out of 5 stars,Capital One,1503582431.4025974,Needs work but fast to retrieve,4 people found this helpful.
Amazon Customer,0,Just purchased my Alexa nd how easy to linked up my Capital One super quick nd easy.,"on December 18, 2016",4.0 out of 5 stars,Capital One,1503582436.664026,Quick n Easy,3 people found this helpful.
Amazon Customer,0,Just installed the app today and I'm having no trouble at all very accurate,"on December 13, 2016",4.0 out of 5 stars,Capital One,1503582436.6770606,works fine,3 people found this helpful.
