author,category,commands,description,id,invocation,rating,ratingPercentage_1,ratingPercentage_2,ratingPercentage_3,ratingPercentage_4,ratingPercentage_5,reviewNum,timestamp,title
"Capital One Services, LLC",Business & Finance,"['""Alexa, Open Capital One""', '""Alexa, ask Capital One what\'s my account balance?""', '""Alexa, ask Capital One to make a credit card payment.""']","Ask Capital One about your credit card, checking, savings, auto and home loan accounts. Then try out our new feature, ""How much did I spend?"" to get quick answers on how much and where you are spending. Once you’ve enabled the skill, say “Alexa ask Capital One…”For your credit card:· “How much did I spend at Target last month?” · “How much did I spend at Starbucks last weekend?”· “What’s my current credit card balance?”· “When is my credit card bill due?”· “To pay my credit card bill.”For your bank accounts:· “What’s my checking account balance?”· “What are my recent transactions?”For your auto loan:· “What’s my car loan principal balance?” · “What's my payoff quote?”· “When is my car loan due?”· “To pay my car loan bill.” For your home loan:· “What's the principal balance on my mortgage?”· “When is my next mortgage payment due?”· “How much is my next mortgage payment?”To get started, sign in with your Capital One username and password (which we keep completely private). You can also create a personal key for extra security.  We're always learning and building new features, but we can't do that well without your feedback. If you have comments, please share them with us at www.CapitalOne.com/Alexa.",5d48d52d-92c1-4ed3-a819-d401b902b303,capital one,3.5,23%,3%,8%,12%,54%,146,1503627759.812743,Capital One
Beach.Dev,Social : Communication,"['""Alexa, ask My Buddy to help me get started""', '""Alexa, ask My Buddy to alert James.""', '""Alexa, ask My Buddy to alert everyone.""']","Ask My Buddy Personal Alert ⨁ NetworkAll of us are alone sometimes and we can't always reach our phones or press a button to get assistance. This is why everyone needs Ask My Buddy because you can't predict when you'll need help.If you have fallen, or need help, Ask My Buddy lets you immediately alert someone in your Personal Alert Network that you need them to check on you. You may alert just 1 contact or all of your friends or family with just one command. Simply say, 'Alexa, Ask My Buddy to alert YourContact' or 'Alexa, Ask My Buddy to alert everyone', and Ask My Buddy will immediately send an alert, notifying them to check on you right away. Alerts will be sent by text message / SMS, an email, and even a voice telephone call. Ask My Buddy is not a substitute for 911, but rather an additional tool offering the security of knowing help is just a shout away.If you need any help please send email to support@askmybuddy.net (please be sure to check your email spam folder)For hands on demonstrations and how-to videos, visit us at https://www.youtube.com/AskMyBuddy There are 2 parts to setting up Ask My Buddy. Enable and Link Accounts, here in the Alexa companion application. Add/Edit Contacts at the AskMyBuddy.net website.Enable Ask My Buddy: 1. Click on Enable Skill button on this pageLink Alexa and Ask My Buddy: 2. Then tap on the button that says Link Account (will be below a button that says Disable) (if on a desktop and don't see the login, check here: https://www.askmybuddy.net/help.php#h.qejfgul34bhk_New2) 3. The Ask My Buddy Login page will display If you have not created an Ask My Buddy account yet, a. Scroll down a little and press the button that says Register. b. Enter your information and then press the Register button at the bottom. c. After you Register, be sure to check your email for a Welcome letter from us. If you do not see an email from us, please check your spam folder.  If you already have an account with Ask My Buddy or just Registered, 7. Enter your email and password 8. Press Login 9. A screen should display saying 'Account linking successful'You may now exit the Alexa companion application and go to www.AskMyBuddy.net to add your Contacts. Add Contacts In your internet browser, go to www.askmybuddy.net, Click on the Login menu item (if you are on a mobile device, tap on the 3 lines in the upper left corner). Enter the login information that you used when you registered (email and password) then press Login button. Once logged in you will be at the Settings page. Enter any additional information, then press Save Changes Select menu item Contacts from the menu at the top (mobile device, tap the 3 lines in the upper left corner) Fill in each field for a contact then click the Save Changes button at the bottom. Always press Save Changes after each new contact is entered. If there are any errors you will see them in the blue title bar area. Once complete you are ready to use Ask My Buddy. Talk to your Alexa device and say, 'Alexa, Ask My Buddy to Alert Bob' (instead of Bob use the first name of the contact you added). Alexa will alert that person and let you know that she did.To alert all of your contacts at once say: Alexa Ask My Buddy to Alert All Alexa Ask My Buddy to Alert Everyone Alexa Ask My Buddy to Alert Everybody Alexa Ask My Buddy to Alert My Family Alexa Ask My Buddy to Send HelpTo alert only one contact say: Alexa Ask My Buddy to Alert yourContactFirstName Ask My Buddy is a free service that leverages the Alexa Voice Platform to connect a user to their Personal Alert Network using only their voice. Ask My Buddy is not a substitute for 911, but rather an additional tool offering the security of knowing help is just a shout away. 'Alexa, Ask My Buddy to Alert Everyone'Look for the monthly newsletter to learn about new names to alert - to help you and your Personal Alert Network stay in practice.",e6ab80fa-4611-4441-b18c-51d01f59a2d0,my buddy,4.7,6%,2%,1%,4%,87%,593,1503627858.19914,Ask My Buddy
"Convessa, Inc.",Social : Communication,"['""Alexa, Ask Mastermind to Send Message""', '""Alexa, Ask Mastermind to Get My Notifications""', '""Alexa, Ask Mastermind to Make Phone Call""']","Mastermind lets you send and read SMS text messages, make and answer phone calls, get caller ID, find your phone, get notifications and launch apps on your mobile device and television via Alexa's voice-enabled services.****************************************************IMPORTANT TERMSMastermind is currently in closed beta. Due to the high demand we are seeing, when you enable the skill you will be added to a waitlist. Every day we grant people on the waitlist access to the beta. The waitlist is necessary to ensure that our system scales correctly. You do not have to pay to be part of the beta, but just have to wait your turn. Link both the Alexa Skill and Android App and you will be given priority access (i.e. moved in-front of people without both linked). We will email you when you beta account becomes active.For those who wish to bypass the waitlist, we have a paid option for US $15 that will give you instant access to all the functionality of Mastermind during the closed beta. See the Mastermind Android companion app for details. The users who pay for instant access will get the first year for free when Mastermind comes out of closed beta and moves to a paid subscription service model.Only enable the skill if you wish to be part of the closed beta as per the terms above.****************************************************Mastermind connects your smartphone, personal computer, and television to Alexa’s voice-enabled services.* Send and receive SMS text messages* Make Phone calls* Find your phone* Get Caller ID* Read and manage all app notifications whether they come from Facebook, Instagram, Twitter, Whatsapp, Email, Netflix, Youtube or any other app!* Cast to Chromecast TV* Get phone battery charge, data usage stats and app usage stats* Turn on Wifi, Bluetooth and Do-Not-Disturb* Launch Mobile Apps* Start Google Maps navigation* Send articles from your phone and personal computer to Alexa to read aloud* See your phone's notifications, text messages, and phone calls on your personal computer* More...Watch a video of how to use Mastermind: https://www.youtube.com/watch?v=EGgNa4OYARc and subscribe to the Mastermind Youtube channel: https://www.youtube.com/playlist?list=PLSWJb3L65NvLO8-WKk7LBYqlzwDEO1cVGDownload all the Mastermind Bots: http://www.mastermindbot.com **************************************************** 5 reasons to try out Mastermind:1) To send a text message, say ""Alexa, Ask Mastermind to Send Message"" and Mastermind will send the SMS message using your carrier phone number. 2) To find your phone, say ""Alexa, Ask Mastermind to Call My Phone"" and Mastermind will ring your phone full volume even if it's in silent or do-not-disturb mode.3) When your phone rings, say ""Alexa, Ask Mastermind Who's Calling?"" to found out who's calling. Send unwanted calls to voicemail, say ""Alexa, Ask Mastermind to Reject Call"".4) When your phone dings, say ""Alexa, Ask Mastermind What Was That?"". Mastermind will read out the email, Facebook update, WhatsApp message, Tweet, Instagram post or any notification instantaneously without you reaching for your phone.5) To make a hands-free phone call, say ""Alexa, Ask Mastermind to Make Phone Call"" and Mastermind will initiate the call from your phone or connected bluetooth speaker.****************************************************Mastermind currently works on the following platforms:* Amazon Echo, Dot and Tap* Google Android Phones and Tablets (5.0 Lollipop+)* Google Chromecast TV* Google Chrome* Any Alexa Voice Enabled (AVS) app or device* iPhone support coming in late 2017Mastermind takes your security and privacy very seriously. Mastermind uses end-to-end encryption to make sure that all of your information is secure.Mastermind is powered by the Convessa Connected Conversational Platform, the most powerful enterprise-grade connected conversational platform available. Learn more at http://www.convessa.com.",f5622c28-a8c8-49c1-901e-d166a9c74d1e,mastermind,4.2,12%,4%,5%,16%,63%,308,1503628248.3671072,Mastermind - SMS Text Messaging & Phone Calls
Hyundai Motor America,Connected Car,"['""Alexa, tell Blue Link to start my Sonata and set the temperature to 72 degr...""', '""Alexa, tell Blue Link to lock my Sonata.""', '""Alexa, tell Blue Link to flash the lights of my Sonata.""']","The Hyundai Blue Link Skill allows Hyundai vehicle owners the ability to Remote Start, set the desired interior cabin temperature, Remote Lock/Unlock, Remote Start Charge/Stop Charge, Remote Horn & Lights and more using Alexa. (Note: The Blue Link Skill currently supports all 2017 or later Blue Link equipped vehicles, the following 2016 vehicles: Hyundai Genesis, Azera, Tucson (Limited Trim), Sonata (SE, Sport Limited, Sport 2.0T, Limited 2.0T, Eco 1.6T), Sonata Hybrid (Limited Ultimate package), Sonata Plug-In Hybrid, Veloster (Tech package), Elantra GT (Tech package) and the following 2015 vehicles: Hyundai Genesis, Sonata with Factory-installed Navigation, Azera).• Log into the Skill using your MyHyundai Username and Password. • In order to access remote functions you must provide your Blue Link PIN verbally to the Alexa-enabled device. CAUTION: • It is recommended to only use this Skill in a secure and private setting. It is not recommended to use this Skill in the presence of others including children. • An active Remote Package subscription is required to access the Hyundai Blue Link Skill. • To enroll in Hyundai Blue Link visit www.hyundaiusa.com or visit your preferred Hyundai Dealer.• For MyHyundai Account technical assistance contact: www.hyundaiusa.com/loginhelp.• For Blue Link feature information: www.hyundaiusa.com/bluelink.",40d6f867-750a-43f0-8582-ac31cca6b0cf,blue link,2.4,59%,3%,5%,7%,26%,87,1503628443.169889,Hyundai Blue Link
Translated,Education & Reference,"['""Alexa open Translated""', '""Alexa ask Translated how do you say how are you in Japanese""', '""Alexa ask Translated to say it\'s a wonderful day in Russian""']","Use the Translated skill to ask Alexa to translate short sentences FROM ENGLISH into 36 languages. Alexa will read out the translation for you so you can learn how to pronounce it. How to use it:Just say “Help!” to ask for help on how to interact with the skill.Ask Alexa to slow down the reading speed. This will make the translation easier to understand.Example:- ""Alexa open Translated"" then ""How do you say how are you in Italian?""- Alexa, ask Translated how do you say how are you? in JapaneseAfter the skill replies, you can say ""Slow Down"" if you want to listen to the translation again more slowly.You can also say “Repeat” and it will repeat the translation.PLEASE do not speak to Alexa in languages other than English. Your Alexa device can only understand English.You can translate FROM ENGLISH to:ArabicCatalanCzechWelshDanishSwiss germanGermanGreekSpanishSpanish Latin AmericaAmerican SpanishBasqueFinnishFrench CanadianFrenchGalicianHindiHungarianIndonesianIcelandicItalianJapaneseKoreanFlemishDutchNorwegianPolishBrazilian PortuguesePortugueseRomanianRussianSlovakSwedishThaiTurkishChineseIf you enjoy using the Translated skill, please take a moment to rate it. Thanks for your support. Your feedback helps us improve our skill and your experience with it.Automatic translations come from our labs’ machine translation engine. For high quality translations by native professional translators, please visit http://www.translated.net. Thanks!",99663e55-71f8-4c1b-b5f4-5d2dcc128b4d,translated,3.6,18%,9%,9%,24%,40%,310,1503628502.442647,Translated
"Domino's Pizza, LLC",Food & Drink,"['""Alexa, open Dominos""', '""Alexa, open Dominos and place an order""', '""Alexa, ask Dominos to track my order""']","Alexa is making ordering your Domino’s favorites even easier. With the Domino’s skill, you can build a new order from scratch, place your Easy Order or your most recent order. You can ask Alexa for your order’s status with Domino’s Tracker®. Available only in the U.S. To get started, just say “Alexa, open Domino’s.” Alexa will connect you to Domino’s and get you ordering and tracking in no time. To re-order a saved order, make sure you have a Domino’s Pizza Profile. If you don’t have a Pizza Profile, set one up at www.dominos.com. You’ll also need an Easy Order or a recent order saved within your Pizza Profile. Once you’ve placed your order, you can ask Alexa for Domino’s Tracker® updates at each stage, from the time it’s placed to when it’s ready for delivery or pickup. Alexa will simply use the phone number saved in your Pizza Profile. If you just want to track your carryout or delivery order from Domino’s, enter the phone number you used with a recent order into the app. Alexa will give you the current status of your order whenever you ask. Learn more about Alexa ordering and all the newest ways to order Domino’s at http://anyware.dominos.com/.",0c7c1db5-81d2-45ed-9164-a9866c4502ec,dominos,2.5,54%,5%,7%,8%,26%,177,1503628697.0510466,"Domino's New Orders, Reorders & Tracker"
HeadCode,Food & Drink,"['""Alexa, ask OurGroceries to add milk to shopping list.""', '""Alexa, tell OurGroceries to remove olive oil from Walmart.""', '""Alexa, ask OurGroceries what are my lists.""']","This skill lets you add items to the shopping lists on your OurGroceries app. The app keeps your grocery lists instantly synchronized on all the iPhone and Android smartphones in your household—and it’s free! It also tracks recipes, takes photos of items, and scans barcodes.Just install the app on your phone, enter your email address in the ""List sharing"" screen in preference, then enable this skill. After saying, ""Alexa, open OurGroceries"", you'll be guided through the process of connecting your Echo to your OurGroceries account.",5973f17a-228c-46ae-8994-48c70f39aedb,our groceries,3.2,27%,12%,10%,17%,34%,195,1503628813.1708622,OurGroceries
Pylon ai,Food & Drink,"['""Alexa, ask the bartender what\'s in an Old Fashioned""', '""Alexa, ask the bartender for a drink with pineapple juice and vodka""', '""Alexa, ask the bartender to surprise me""']","Access over 12,000 cocktail recipes through your Alexa! Whether you're craving an Old-Fashioned, a margarita, or something new to you, just ask. We’ll tell you the ingredients, amounts, and instructions for your cocktail. You can also search for cocktails by ingredient or spirit type. If you're feeling adventurous, ask the Bartender to surprise you with a random drink recipe.NOTICE:This skill may not be suitable for all ages. This skill provides instructions for how to make alcoholic drinks, in addition, some drink recipes returned by Alexa may include offensive content.",27d5aab8-ec33-4923-bccd-9f5f5ef09b5a,the bartender,3.2,25%,11%,10%,18%,36%,107,1503628938.44158,The Bartender
"The Magic Door, LLC","Games, Trivia & Accessories","['""Alexa, open the magic door""']","The Magic Door is an Alexa-powered interactive adventure game with original stories. You can tell Alexa what choices to make as you navigate a forest, a garden, or an ancient temple. You can find hidden items, solve riddles, and help magical creatures. You can also find magical items to get a prize!Our current stories are:1. Help the Princess find her Crown in and beyond the Garden2. Find the Rabbit's Eggs beyond the Garden Gate3. Help the Gnome find his key in the Forest4. Save the Monkeys on the Tropical Island5. Enter a hidden Portal to an Ancient Temple6. Concoct a Potion for a magical Fern to the Wizard's Tower7. Search for the Wise Wizard in his Tower 8. Explore the Witch's Spooky Mansion9.Travel to and enjoy the Royal Holiday PartyVisit us at facebook.com/AlexaMagicDoor for tips, tricks, and news.",be197102-9279-4b51-8cd7-7c2f2fc99666,the magic door,4.2,8%,5%,7%,19%,61%,507,1503629009.530427,The Magic Door
Sony Pictures Television,"Games, Trivia & Accessories","['""Alexa, Play Jeopardy!""', '""What is...""', '""Repeat""']","Did you know that every Jeopardy! category has an “extra” 6th clue? Now, you can play those clues on Alexa! With a single voice command, test your knowledge with new clues every weekday. Step up to the podium and play the same categories you saw on the latest episode! Play a wide range of categories including sports, pop culture, travel, world history and much more. Get the true Jeopardy! experience now as you shout your responses, just like contestants on the show! Celebrate over 30 seasons of America’s Favorite Quiz Show®—enable the skill and play today! *PLEASE NOTE: If you have issues, questions or comments please email us at gamesupport@spe.sony.com. We want to hear directly from you!",8880c656-75e4-49b5-824c-1f721a853dd8,jeopardy,3.4,23%,12%,13%,20%,32%,703,1503629321.266832,Jeopardy!
