,,Isuue,,,,,,,,,,,,,,,,,,Non-Isuue,,,,,,,,,
,,App,,,,,,,,,,,VUI,,,,,,,App,,,,,VUI,,,,
Title,Rating,App Crashing,Feature Removal,Feature Request,Functional Error,Hidden Cost,Network Problem,Privacy and Ethics,Uninteresting Content,Response Time,Emotional Expression,Not Specific,Command Design,Voice Control,Voice Recognition,Integration,Intelligence,No Conversation,UX,Description of skill,Question,Praise,Feature Strength,Usage Scenario,Personification,Sociability,Household Characteristic,Time saving,Convenient
1,4,,,"It also does not really have the capability to switch between sounds, you will need to tell Echo to open sleep sounds each time and name the sound you wish to switch to.",,,,,,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,,,,,,,,,,,,,List of sounds,,,,,,,,,
3,5,,,,,,,,,,,,,,,,,,,,,,,Use it for more than just sleep time,,,,,
4,4,,,,The sound is now stopping after less than an hour and needs to be manually resumed for it to continue. ,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,Well-Made Skill That Does As Advertised!,,,,,,,
6,5,,,,,,,,,,,,,,,,,,,,,"It was super relaxing, ",,,,,,,
7,5,,,,,,,,,,,,,,,,,,,,,Best sleep,,,,,,,
8,4,,,,,,,,,,,,,,,,,,,,,"The bottom line is the app is good, but if you want more sounds than the app has to offer for free, you have to purchase them. I hope this updated review is helpful. Thank you.",,,,,,,
9,5,,,,,,,,,,,,,,,,,,,,,The Sleep Sound skill is a wonderful example of the versatility of the Amazon Echo;,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,As good as any retail sleep machine.,,,,,,,
11,1,,,,,"Paid, Registered and yet it doesn't work",,,,,,,,,,,,,,,,,,,,,,,
12,1,,,,,"Now, when I open it, I must sit through a long-winded sales pitch trying to get me to upgrade to a premium version.",,,,,,,,,,,,,,,,,,,,,,,
13,1,,,,,Free sounds now behind subscription paywall,,,,,,,,,,,,,,,,,,,,,,,
14,3,,,,,Loved it until the incessant ads began,,,,,,,,,,,,,,,,,,,,,,,
15,3,,,,It worked really great for a while but overnight it suddenly stopped running all night and now stops after an hour. ,,,,,,,,,,,,,,,,,,,,,,,,
16,2,,,,, Does it work basically the same way every time and doesn't blast me with product updates at 4 AM when I'm half asleep and my kids are fussy? ,,,,,,,,,,,,,,,,,,,,,,,
17,1,,,,,Poor place to put a loud and lengtby ad. This is supposed to be a relaxing skill. Can no longer use this skill.,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,I fell asleep to my favorite sound last night only to find out tonight it's now a premium sound and I have to pay for it.,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,"Then Alexa continued to talk for the next 2 minutes about how I should leave a 5 star rating. It's also happened another time, I asked for more options, and it talked for the next 5 minutes about some other stuff, and still didn't bring me to more options.",,,,,,,,,,,,,,,,,
20,2,,,,,really irritating now to have to listen to all the garbage before it will play what I want or aks me to pay for premium.,,,,,,,,,,,,,,,,,,,,,,,
Total,20,0,0,1,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0
