,,Isuue,,,,,,,,,,,,,,,,,,Non-Isuue,,,,,,,,,
,,App,,,,,,,,,,,VUI,,,,,,,App,,,,,VUI,,,,
Title,Rating,App Crashing,Feature Removal,Feature Request,Functional Error,Hidden Cost,Network Problem,Privacy and Ethics,Uninteresting Content,Response Time,Emotional Expression,Not Specific,Command Design,Voice Control,Voice Recognition,Integration,Intelligence,No Conversation,UX,Description of skill,Question,Praise,Feature Strength,Usage Scenario,Personification,Sociability,Household Characteristic,Time saving,Convenient
1,4,,,can't seem to make a payment unless I've been billed. ,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,,,,,,,,,,,,,,,,,,,,,Very convenient,,stay up to date information,,,,,stay up to date information
3,5,,,Keep adding more commands,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,,,,,,,,,,,,,,,,,,,,,"Frictionless, easy peasy",,,,,,,
5,4,,,Would be nice if you could restrict which of your accounts the app has access,,,,,,,,,,,,,,,,,,This is amazing!,,,,,,,check my balance and pay a bill without having to use an app.
6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Extremely useful to check balance, the days spending etc."
7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,,,multiple card,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,,,"search for transaction by merchant name, transfer funds between accounts, send a check, etc",,,,,,,,,,,,,,,,,,,,,,,,this saves the need to login the old fashioned way for basic info!,this saves the need to login the old fashioned way for basic info!
10,5,,,,,,,,,,,,,,,,,,,,,Great skill,,,,,,,
11,3,,,,,,,"My concern is that the pin code necessary to access account information, pay bills, etc is stored as plain text in Alexa's voice history list, and can be read by anyone who looks.",,,,,,,,,,,,,,,,,,,,,
12,3,,,,"A slight bug... when I request to make a payment of some amount of dollars &quot;and one cent,&quot; it doesn't map the &quot;and one cent&quot; to an amount, so it asks me to confirm payment of just the whole dollar amount. If I say &quot;and one cents,&quot; it maps that correctly to the additional $.01.",,,,,,,,,,,,,,,,,,,,,,,,
13,3,,," I would like to see this fixed to allow a payment to be made when there is a balance on the card, even if there is no minimum amount due.",,,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,I can't link my account despite trying numerous times to do so,,,,,,,,,,,,,,,,,,,,,,,,
15,1,,,,I keep trying to link the acct to the Alexa app but it keeps telling me that I have to log on to my Capital One acct and resolve an issue before linking. When I log on there's nothing wrong at all. I spoke to a rep and he informed me to contact the app administrator. Unhelpful.,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,,it says i cannot pair my account,,,,,,,,,,,,,,,,,,,,,,,,it's good for hearing your current balance though.
17,3,,,,,,,,,,,,,,,,it would be nice to hear your most recent transactions when you ask for recent transactions,,,,,,,,,,,,
18,3,,,,,,,,,,,,,,,,,,It works great but i havent found a way to close a session.,,,,,,,,,,
19,2,,,,"""cannot access the capital one skill right now""",,,,,,,,,,,,,,,,,,,,,,,,
20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast to retrieve but wont let you make a one time payment as I pay off my card frequently instead of waiting to the end. So its not only good for quick balance,
Total,20,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,0,0,2,5
