,,Isuue,,,,,,,,,,,,,,,,,,Non-Isuue,,,,,,,,,
,,App,,,,,,,,,,,VUI,,,,,,,App,,,,,VUI,,,,
Title,Rating,App Crashing,Feature Removal,Feature Request,Functional Error,Hidden Cost,Network Problem,Privacy and Ethics,Uninteresting Content,Response Time,Emotional Expression,Not Specific,Command Design,Voice Control,Voice Recognition,Integration,Intelligence,No Conversation,UX,Description of skill,Question,Praise,Feature Strength,Usage Scenario,Personification,Sociability,Household Characteristic,Time saving,Convenient
1,5,,,,,,,,,,,,,,,,,,,,,Convenience is amazing!,,,,,,,
2,5,,,,,,,,,,,,,,,,,,,,,,,For this one all you need is to know to to speak properly. ,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,Not sure why this is rated badly because it works fine for me :),,,,,,,
4,5,,,,,,,,,,,,,,,,,,,,,,"You can track your order every step of the way, it's awesome.",,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,Was use to use and worked amazing on first try!!,,,,,,,
6,5,,,"Please add an option to let Alexa tell you when the order is ready for pickup, other than that, impressed.",,,,,,,,,,,,,,,,,,,,,,,,,
7,5,,,,,,,,,,,,,,,,,,,,,Simple and easy!!,,,,,,,
8,5,,,,,,,,,,,,,,,,,,,,,First attempt and was able to order quickly and accur,,,,,,,
9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,We've been using Alexa for about two years or so and she's so easy to use to place our order. Love this skill!,,,,,,,
11,1,,,,,,,,,,,,,,,,,,"First it asks for my info, so I give it. Then when it asks what I want, and I tell it. Then it decides to instead cancel everything and make me start over, and give my info again. Second try I'm able to add a pizza, then when I try to checkout, It tells me its removed the pizza from my order. Why? This app is seriously frustrating and slow to use. You're far better off using the internet browser for ordering.",,,,,,,,,,
12,2,,,,,,,,,,,,,,,,,,I opened the Dominos mobile app and there was nothing wrong.,,,,,,,,,,
13,3,,,,,,,,,,,,,,,,,,,,big improvement over earlier version. well done.,,,,,,,,
14,2,,,,,,,,,,,,,,,,,,Hard to use. ,,,,,,,,,,
15,1,,,,,,,,,,,,,,,,,,f you miss a word this stupid skill will crash and start over. Need to go back? Too bad! You're better off ordering online with your phone....or waiting for a pizza to spontaneously appear.,,,,,,,,,,
16,1,,,,,,,,,,,,,,,,,,I spent way more time arguing with a beeping Alexa then it would've taken to cook and deliver pizzas if I ordered over the phone. Pointless and annoying!,,,,,,,,,,
17,3,,,,"t was no longer ""linked"" with my profile",,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,Couldn't apply coupons,,,,,,,,,,,,,,,,,,,,,,,,
19,3,,,,"Was working awesome but Alexa said I needed to re-link because of a update and now I just get a internal server error. Please fix, I am hungry.",,,,,,,,,,,,,,,,,,,,,,,,
20,1,,,,,,,,,,,,,,,,"Your developers need to test delivery entry using a Washington, DC address.",,,,,,,,,,,,
Total,20,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,6,1,1,0,0,0,0,0
