,,Isuue,,,,,,,,,,,,,,,,,,Non-Isuue,,,,,,,,,
,,App,,,,,,,,,,,VUI,,,,,,,App,,,,,VUI,,,,
Title,Rating,App Crashing,Feature Removal,Feature Request,Functional Error,Hidden Cost,Network Problem,Privacy and Ethics,Uninteresting Content,Response Time,Emotional Expression,Not Specific,Command Design,Voice Control,Voice Recognition,Integration,Intelligence,No Conversation,UX,Description of skill,Question,Praise,Feature Strength,Usage Scenario,Personification,Sociability,Household Characteristic,Time saving,Convenient
1,5,,,,,,,,,,,,,,,,,,,,,New to Fox News... It Really IS Balanced,,,,,,,
2,4,,,,,,,,,,,,,,,,,,,,,I am very happy they finally offer Fox News but get rid of the commercials.,,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,,No longer are we confined to mainstream media bias. We get to pick the bias we want.,,,,,,
4,5,,,,,,,,,,,,,,,,,,,,,,This is so nice to be able to catch all the latest news in one.,,,,,,
5,5,,,,,,,,,,,It is both entertaining and frightening to hear how different the &quot;news&quot; is on different networks.,,,,,,,,,,,,,,,,,
6,5,,,,,,,,,,,,,,,,,,,,,,Tried several news apps and this is my favorite.,,,,,,
7,4,,,,,,,,,,,"It's great for news but I just wish this one and all the other US stations would talk about more than Trump, for good or bad, there are other things going on in the world (this is the same for CNN, MSNBC etc)",,,,,,,,,,,,,,,,,
8,5,,,,,,,,,,,,,,,,,,,,,,Now I get just the news without the fluff while I'm rushing to get out the door and can save the chatter and goofing around for days when I have time for it. Efficient and informative.,,,,,,
9,5,,,,,,,,,,,his is not the place to review your opinion of its content.,,,,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,"Same briefings as local radio stations pay to air, free and on demand in the flash briefing. No text to speech",,,,,,,
11,1,,,,,Has a long commercial in the middle of the briefing,,,,,,,,,,,,,,,,,,,,,,,
12,1,,,,,,,,,,,Trumps favorite news source because they only tell the news he wants you to hear.,,,,,,,,,,,,,,,,,
13,2,,,,,,,,,,,Playing old news and multiple days worth of news,,,,,,,,,,,,,,,,,
14,3,,,,,,,,,,,Need fox business For market reports.,,,,,,,,,,,,,,,,,
15,3,,,"It's now almost half the volume of everything else in my Echo, including the other parts of my flash briefing. Can you guys crank it up a notch?",,,,,,,,,,,,,,,,,,,,,,,,,
16,3,,,,,"After the flash briefing, an add of some sort is played which is very annoying. They made need this to pay the bills but it is still annoying and way to long",,,,,,,,,,,,,,,,,,,,,,,
17,2,,,,,It was great the first time I used it....then....commercials! Advertising! I'm out....,,,,,,,,,,,,,,,,,,,,,,,
18,3,,,,,"I'm all for the news, but this is a FLASH briefing. Taking a full minute out in the middle for a commercial is NOT what I have time for. I'll be disabling this skill until it goes commercial free.",,,,,,,,,,,,,,,,,,,,,,,
19,1,,,Please increase so it is louder and can be adjusted. ,,,,,,,,,,,,,,,,,,,,,,,,,
20,2,,,,,,,,If i ask for focx news directly it works great. From inside Flash Breifing I get old news going back 4 days.,,,,,,,,,,,,,,,,,,,,
Total,20,0,0,2,0,4,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
