,,Isuue,,,,,,,,,,,,,,,,,,Non-Isuue,,,,,,,,,
,,App,,,,,,,,,,,VUI,,,,,,,App,,,,,VUI,,,,
Title,Rating,App Crashing,Feature Removal,Feature Request,Functional Error,Hidden Cost,Network Problem,Privacy and Ethics,Uninteresting Content,Response Time,Emotional Expression,Not Specific,Command Design,Voice Control,Voice Recognition,Integration,Intelligence,No Conversation,UX,Description of skill,Question,Praise,Feature Strength,Usage Scenario,Personification,Sociability,Household Characteristic,Time saving,Convenient
1,5,,,,,,,,,,,,,,,,,,,Correct format for Alexa Bartender App.,,,,,,,,,
2,5,,,,,,,,,,,,,,,,,,,,,I love this app. I have been able to find almost every drink that I have asked for.,,,,,,,
3,4,,,"I really wish I could interact with it online, and put in an inventory of the ingredients I have. Then the app could only give me recipes I have ingredients for, or even make recommendations on what I should buy to increase the number of drinks I can make",,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,YOUR BARTENDER TONIGHT IS ALEXA!,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,This works awesome.,,,,,,,
6,4,,,Wished that that it would add to indgrentants to the shopping list.,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,,,,needs better fuzzy matching on the developer's server side. ,,,,,,,,,,needs better fuzzy matching on the developer's server side. ,,,,,,,,,,,,,,
8,4,,,,,,,,,,,,,,,,,,,,,Works well here.,,,,,,,
9,5,,,,,,,,,,,,,,,,,,,,,This is great.,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,totally awesome,,,,,,,
11,2,,,,Hard time understanding drink names.,,,,,,,,,,,,,,,,,,,,,,,,
12,2,,,"Tells you what's in the drink and how to make it, but doesn't give amounts",,,,,,,,,,,,,,,,,,,,,,,,,
13,3,,,The Bartender is capable of listing out the ingredients for many common drinks but has a limited library.,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,,,,,,,,,,,Love the idea of asking what and how to make a 'cocktail' with what you have on hand. ,,,,,,,,,,,,,,,,,
15,3,,,"Good...but please add a ""pause"" function"".",,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,,,,,,,,,,,,She didn't understand what I was saying.,,,,,,,,,,,,,,
17,3,,,,,,,,,,,,,,Recognition issues,,,,,,,,,,,,,,
18,3,,,It would be better if it returned more than one cocktail. ,,,,,,,,,,,,,Didn't understand the first three drinks I tried.,,,,,,,,,,,,
19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,,,,I had a lot of trouble trying to get the Long Island iced tea recipe.,,,,,,,,,,,,,,,,,,,,,,,,
Total,20,0,0,6,3,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,6,0,0,0,0,0,0,0
