,,Isuue,,,,,,,,,,,,,,,,,,Non-Isuue,,,,,,,,,
,,App,,,,,,,,,,,VUI,,,,,,,App,,,,,VUI,,,,
Title,Rating,App Crashing,Feature Removal,Feature Request,Functional Error,Hidden Cost,Network Problem,Privacy and Ethics,Uninteresting Content,Response Time,Emotional Expression,Not Specific,Command Design,Voice Control,Voice Recognition,Integration,Intelligence,No Conversation,UX,Description of skill,Question,Praise,Feature Strength,Usage Scenario,Personification,Sociability,Household Characteristic,Time saving,Convenient
1,4,,,,,,,,,,,,,,,,,,,,,Good and has potential...,,,,,,,
2,5,,,,,,,,,,,,,,,,,,,,,I'm an adult and I love this!,,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,Great fun!,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,"Old But still Enjoy this cute relaxing, thinking skill.. Good for All Ages",,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,Very fun! would love an expansion!,,,,,,,
6,5,,,,,,,,,,,,,,,,,,,,,Great Interactive storytelling!!,,,,,,,
7,5,,,,,,,,,,,,,,,,,,,,,"A fun, simple, choose your own adventure.",,,,,,,
8,5,,,,,,,,,,,,,,,,,,,,,good one for little older kids,,good one for little older kids,,,,,
9,5,,,,,,,,,,,,,,,,,,,,,Super fun! Kids love it - so do Mom and Dad!,,,,,,,
10,4,,,,,,,,,,,,,,,,,,,,,Cool Idea,,,,,,,
11,3,,,,,,,,,,,,,,,,,,It needs to give me more than 1 second to give answer. It was cool but if you don't answer quick enough she quits the game,,,,,,,,,,
12,3,,,,,,,,,,,,,,,,she either doesn't understand or the dot turns off and we need to re-initiate the game).,,,,,,,,,,,,
13,3,,,Getting There But Needs More Content,,,,,,,,,,,,,,,,,,,,,,,,,
14,3,,,,,,,,,,,,,,,,,,She would give me options and then say they were not options.,,,,,,,,,,
15,3,,,,,,,,,,,,,,,,,,Having Alexa tell a story - especially a story - is a bit boring since there is no emotion to her voice. ,,,,,,,,,,
16,2,,,,,,,,,,,,,,,,I thought it would have been fun but once I was at the sea and was wanting to go down the path to the boat but it froze and I couldn't get anything to her it just went bleep and so I disabled it.,,,,,,,,,,,,
17,3,,,,,,,,,,,,,,,,,,Alexa just speaks,,,,,,,,,,
18,3,,,,Now it won't work.,,,,,,,,,,,,,,,,,,,,,,,,
19,3,,,,,,,,,,,,,,,,,,,,,it's very interesting,,,,,,,
20,2,,,,,,,,,,,,,,Worked good for about 5 commands,,,,,,,,,,,,,,
Total,20,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,10,0,1,0,0,0,0,0
