,,Isuue,,,,,,,,,,,,,,,,,,Non-Isuue,,,,,,,,,
,,App,,,,,,,,,,,VUI,,,,,,,App,,,,,VUI,,,,
Title,Rating,App Crashing,Feature Removal,Feature Request,Functional Error,Hidden Cost,Network Problem,Privacy and Ethics,Uninteresting Content,Response Time,Emotional Expression,Not Specific,Command Design,Voice Control,Voice Recognition,Integration,Intelligence,No Conversation,UX,Description of skill,Question,Praise,Feature Strength,Usage Scenario,Personification,Sociability,Household Characteristic,Time saving,Convenient
1,5,,,,,,,,,,,,,,,,,,,,,,,"If you are preparing to entertain a new friend or client who is not a native English speaker, this skill can help you learn a few basic phrases to help set your guest at ease and demonstrate your own openness and desire to at least try to cross the language bridge. In that respect, you'd be surprised how little efforts on your part can yield such large results in establishing rapport and understanding. Seen in this light, this unique and capable skill is a real boon.",,,,,
2,5,,,,,,,,,,,,,,,,,,,,,,"When I ask Translated to say something in Japanese, I get a recording of a native speaker saying it - not Alexa! I haven't run into any problems yet!",,,,,,
3,5,,,,,,,,,,,,,,,,,,,,,"When you need help with how to say something in Madarin, you will love this a long time.",,,,,,,
4,5,,,"The dialogue with Alexa, asking if I want to translate anything else and saying ""goodbye"" when I'm finished seems more natural and effective than Alexa's current format for voice search.",,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,,,,,,,,,,,,,,,,,,,,,Pronunciation is good even in a difficult language like Chinese.,This skill is very useful for those who often have to locate new terms in a language and will be very useful. It is well done.,,,,,
6,4,,,Wish that there was a way that you could speak back to Alexa after you've learned the word to see if your position is right what is nice if you just need to translate a few words,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,,,,,,,,,,,,,,,,,,,,,,,I have German and Korean in my family and having this Skill has helped us better understand each other. ,,,,,
8,5,,,,,,,,,,,,,," Sometimes it fails recognizing the voice input, but I guess it's an Alexa issue as this happens also with standard usage (e.g. ordering from Amazon).",,,,,,,,,,,,,,
9,5,,,,,,,,,,,,,,,,,,,,,I really like having this translation skill at the palm of my hand. Good feature.,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,,"very handy. my wife is korean, and now I can translate to her.",,,,,,
11,3,,,,"However, it does not reposition words appropriate for the language being translated.",,,,,,,,,,,,,,,,,,,,,,,,
12,3,,,,,,,,,,,,,,,,,,It was very hard to exit the program when I had my answer. Alexa kept asking for more words. I tried stop and no but she persisted. It got kind of annoying.,,,,,,,,,,
13,2,,,,,,,,,,,,,,,,,,"It's really hard to close her unless you wait and answer ""no"" when she asks if you want anything else translated.",,,,,,,,,,
14,3,,,,,,,,,,,,,,"though sometimes it misunderstand (e.g. ""onion"" was always understood as ""how are you"").",,,,,,,,,,,,,,
15,1,,,,,,,,,,,,,,"Alexa cant seem to understand anything in English to translate. No matter how many times I say ""towel in German"" she replies ""wie gehts es ihr (how are you)"". It's fine if you don't know Alexa, just say so.",,,,,,,,,,,,,,
16,2,,,,,,,,,,,,,,,,"I asked it a few words to be translated into Chinese or Japanese, and immediately found it's worse than a 3-year-old.",,,,,,,,,,,,
17,2,,,,,,,,,,,My main complaint &amp; reason for the 2-star review is that every other time I close the app it begs for a review. &quot;If you enjoyed using Translated...&quot; NO. I don't want to be reminded of this constantly!,,,,,,,,,,,,,,,,,
18,2,,,,The translations are mumbled and unclear.,,,,,,,,,,,,,,,,,,,,,,,,
19,3,,,,,,,,,,,,,,,,,,,,,Answered most of what I asked.,,,,,,,
20,1,,,,"Tried the app, on every language offered in the app description. Every response was &quot;Oh no, I can't translate that right now&quot;.",,,,,,,,,,,,,,,,,,,,,,,,
Total,20,0,0,2,3,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,0,3,3,3,0,0,0,0,0
