,,Isuue,,,,,,,,,,,,,,,,,,Non-Isuue,,,,,,,,,
,,App,,,,,,,,,,,VUI,,,,,,,App,,,,,VUI,,,,
Title,Rating,App Crashing,Feature Removal,Feature Request,Functional Error,Hidden Cost,Network Problem,Privacy and Ethics,Uninteresting Content,Response Time,Emotional Expression,Not Specific,Command Design,Voice Control,Voice Recognition,Integration,Intelligence,No Conversation,UX,Description of skill,Question,Praise,Feature Strength,Usage Scenario,Personification,Sociability,Household Characteristic,Time saving,Convenient
1,4,,,"The only improvement I can see is allowing your settings to be changed so that your ringer is on. If your phone's sound is off, this basically is no use. Other than that, assuming your sound is on, this skill works fine.",,,,,,,,,,,,,,,,"In order for this skill to work, you have to set up your phone number with Alexa. First say ""Alexa, open Where's My Phone."" Then she will ask you if you want to set a phone number and all you have to do is say ""Yes."" Then she will ask for your phone number and you just tell her your phone number. Alexa will then call your phone to verify your number.",,,,,,,,,
2,5,,,,,,,,,,,,,,,,,,,,,"Works great with my iPhone 6. Once set up, I saved the number in my contacts and activated the emergency bypass option. With the emergency bypass option my phone always rings when the specific Where'sMyPhone number calls me, even if it's on silent.",,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,That way anyone at home who loses their phone can use it.,,,,,,,
4,5,,,,,,,,,,,," You have to ask alexa to ""OPEN where'smyphone"" not just ""where's my phone"". Otherwise Alexa asks you some dumb questions like ""did you look under the couch"".",,,,,,,,,,,,,,,,
5,4,,,"Works but would be helpful if you could add multiple numbers. I have a personal phone, work phone, iPad, and my significant other's phone roaming around this place.",,,,,,,,,,,,,,,,,,,,,,,,,
6,5,,,,,,,,,,,,,,,,,,,,,I hope this helps the people that don't find the app helpful.,,,,,,,
7,4,,,"This is a useful but, as another reviewer mentioned, it would be even better if you could create ""names' for the various phones you might want to locate.",,,,,,,,,,,,,,,,,,,,,,,,,
8,4,,,Works for a single phone but needs the capability to find multiple phones to be of value to many of us.,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,,,,,,,,,,,I think these skills need better instructions. ,,,,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,"I verified easily. I even did a test call after verification. This is a very useful skill, especially for those that pile laundry on top of our phone and can't find it until all of the laundry is folded...wait, that's probably just me haha... At any rate, very useful skill. Thank you!",,,,,,,
11,3,,,"This would be a great app if you can store multiple phone numbers in one profile. Is it possible? Otherwise, it's good for just me.",,,,,,,,,,,,,,,,,,,,,,,,,
12,1,,,,"I have tried this with my phone number and my husband's phone number. It won't work with either one. Alexa says she is sending a verification call, but it doesn't go through to either number.",,,,,,,,,,,,,,,,,,,,,,,,
13,1,,,,,,,,,,,"The Skill ""Where's my phone"" is currently disabled due to financial issues. They should not allow you to enable a skill that is not active, it is misleading.",,,,,,,,,,,,,,,,,
14,1,,,,Never received a varification call from Alexa. Tried many times feel I am just wasting my time and energy trying to get this app to work,,,,,,,,,,,,,,,,,,,,,,,,
15,2,,,,"I was trying to use this to find my phone but for some reason Alexa kept putting a two in the place of a three in my number. This is not the fault of the App. However, there should be a place in the Alexa app to enter your number.",,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,,I've tried numerous times to get the verification call but it wont do it. I'm I doing something wrong. Volume is up on my phone. Help!!!,,,,,,,,,,,,,,,,,,,,,,,,
17,3,,,"People live in houses where devices like Amazon Echo serve inhabitants. When there is more than one person, there's a g=high likelihood there's more than one phone. ""Where'sMyPhone"" should allow us to identify multiple phones and ask for help finding anyone of them.",,,,,,,,,,,,,,,,,,,,,,,,,
18,3,,,"I would like to be able to say: Alexa, ask where is my phone, find [owner_name] phone",,,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,,"She replied try under the couch, or where's the last place you had it.",,,,,,,,,,,,,,,,,
20,1,,,,"I tried! Each time I tried to put in my phone number Alexa said ""she only supported 10 digit north american phone numbers"" That was just what I was putting in . Tried over and over and just gave up.. Uninstalled it",,,,,,,,,,,,,,,,,,,,,,,,
Total,20,0,0,7,5,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0
